Period,Sd,Sa
0.0,0.0,0.1540381911019542
0.01,0.0004881627055970716,0.19645148981074598
0.02,0.002273254529525187,0.22870665554941996
0.03,0.005694942187967966,0.25464639928561833
0.04,0.010980575573247576,0.2761823063308322
0.05,0.018290141356085306,0.2944203215079568
0.06,0.02773701846415903,0.31006161457352
0.07,0.03939896081554973,0.32357832038402845
0.08,0.05332424818979197,0.335301500139368
0.09,0.06953506887815114,0.34546941107202384
0.1,0.08802909781607032,0.3542558088601073
0.11,0.10798069908247115,0.3591298414999242
0.12,0.13024199625744745,0.36398147566801664
0.13,0.154881518499204,0.3688107936297696
0.14,0.18196714895920454,0.3736178772642341
0.15,0.2115661287506524,0.37840280809856186
0.16,0.24374506090270687,0.38316566734026963
0.17,0.2785699143028219,0.3879065359073913
0.18,0.3161060276293575,0.392625494456599
0.19,0.35641811327637074,0.39732262340936897
0.2,0.39957026127226314,0.4019980029762643
0.21,0.43301125844514443,0.3951403026733736
0.22,0.4668599991451344,0.3881789961546568
0.23,0.5009709708877316,0.3811076078066681
0.24,0.5351918756195425,0.37391919321567463
0.25,0.5693629385039031,0.36660628509196597
0.26,0.6033161272222026,0.3591608312059569
0.27,0.6368742660544675,0.35157412282988443
0.28,0.6698500255674171,0.34383671183142966
0.29,0.702044764389525,0.33593831412197256
0.3,0.7332471940017846,0.327867696591072
0.31,0.7701630156303233,0.3225150614483211
0.32,0.8068348877933565,0.3170848129904812
0.33,0.8431354561526775,0.31157327734799384
0.34,0.8789318945636713,0.30597653319095386
0.35000000000000003,0.914085435217761,0.3002903870485142
0.36,0.9484508437674405,0.2945103453852848
0.37,0.9818758309068635,0.28863158289581375
0.38,1.0142003902334067,0.2826489063687676
0.39,1.0452560501826618,0.2765567133363781
0.4,1.0748650253043757,0.270348944554564
0.41000000000000003,1.1074573760497937,0.2651246058861355
0.42,1.1386185343356645,0.2597588766528021
0.43,1.1681418165588544,0.25424322514593467
0.44,1.1958049171902871,0.2485682823553624
0.45,1.2213679588264232,0.24272372271746478
0.46,1.244571198320334,0.23669812209699653
0.47000000000000003,1.2651323091699964,0.23047878743744613
0.48,1.282743136998589,0.2240515508266162
0.49,1.2970657932514544,0.2174005184142525
0.5,1.3077279085497246,0.21050776141324756
0.51,1.337714984923156,0.2069731308173366
0.52,1.3659822173274616,0.20329611892141392
0.53,1.3923092791793166,0.19946867723435532
0.54,1.4164568327612705,0.19548190084267372
0.55,1.4381640115461203,0.19132590098272348
0.56,1.457145427846292,0.18698965195472905
0.5700000000000001,1.4730875886268182,0.18246080576068538
0.58,1.4856445658699002,0.1777254657246792
0.59,1.4944327175127525,0.17276790740115974
0.6,1.499024184295656,0.16757023090569476
0.61,1.5275938828968167,0.1652110038017753
0.62,1.5548384968478028,0.16277684826980302
0.63,1.5806199357466593,0.16026440874262593
0.64,1.6047908174381953,0.1576700524279255
0.65,1.6271935180231907,0.15498983702808514
0.66,1.647659083705976,0.1522194734298724
0.67,1.6660059783727872,0.1493542823686964
0.68,1.6820386346391003,0.14638914382997006
0.6900000000000001,1.6955457681912591,0.1433184376370008
0.7000000000000001,1.7062984049783192,0.14013597326631105
0.71,1.729160624046938,0.13804140446126942
0.72,1.7505853483271014,0.1358967359642758
0.73,1.7704594193791623,0.13369987026886476
0.74,1.7886630046773038,0.13144855440386208
0.75,1.8050689745727249,0.12914036340759094
0.76,1.8195421968205923,0.12677268145815024
0.77,1.8319387344980536,0.12434268023825981
0.78,1.8421049301097896,0.1218472940201768
0.79,1.8498763548638866,0.11928319083862904
0.8,1.8550765972640786,0.11664673896989947
0.81,1.8795397544039212,0.11528484169553692
0.8200000000000001,1.9030322713308672,0.11389618504435067
0.8300000000000001,1.9254862787726412,0.11247991324917445
0.84,1.9468308330765238,0.11103512172495396
0.85,1.9669916998945134,0.10956085309847731
0.86,1.985891116240651,0.10805609281008155
0.87,2.0034475281260065,0.10651976422926893
0.88,2.0195753005307933,0.10495072321658029
0.89,2.034184395941837,0.10334775205261464
0.9,2.0471800170477734,0.10170955264130525
0.91,2.0690079527762215,0.10054722862812258
0.92,2.0898634652322032,0.09936489738939477
0.93,2.1096888408272254,0.09816196374122543
0.9400000000000001,2.128423973938694,0.09693780111188835
0.9500000000000001,2.1460062105303868,0.09569174917432684
0.96,2.1623701772763937,0.09442311124221084
0.97,2.177447594453742,0.0931311513998714
0.98,2.191167070613203,0.09181509133191675
0.99,2.203453876736531,0.09047410681298419
1.0,2.2142296972329585,0.08910732381175598
1.01,2.233115584806472,0.08809660744198465
1.02,2.250803770444709,0.08706187574985713
1.03,2.2672221019902405,0.08600235557139017
1.04,2.2822948960307876,0.08491722818782173
1.05,2.2959426762107564,0.08380562549401369
1.06,2.3080818841382644,0.08266662573868118
1.07,2.3186245591855505,0.08149924877613633
1.08,2.3274779828634036,0.08030245075888809
