,hi1,bx1,hx1,by1,hy1,hi2,bx2,hx2,by2,hy2
0,0.4,0.35,0.45,0.35,0.45,0.4,0.35,0.45,0.35,0.45
1,0.45,0.35,0.45,0.35,0.45,0.45,0.35,0.45,0.35,0.45
2,0.4,0.35,0.45,0.35,0.5,0.4,0.35,0.45,0.35,0.5
3,0.45,0.35,0.45,0.35,0.5,0.45,0.35,0.45,0.35,0.5
4,0.4,0.35,0.45,0.35,0.55,0.4,0.35,0.45,0.35,0.55
5,0.45,0.35,0.45,0.35,0.55,0.45,0.35,0.45,0.35,0.55
6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6
7,0.4,0.35,0.45,0.35,0.6,0.4,0.35,0.45,0.35,0.6
8,0.45,0.35,0.45,0.35,0.6,0.45,0.35,0.45,0.35,0.6
9,0.35,0.35,0.45,0.35,0.6499999999999999,0.35,0.35,0.45,0.35,0.6499999999999999
10,0.4,0.35,0.45,0.35,0.6499999999999999,0.4,0.35,0.45,0.35,0.6499999999999999
11,0.45,0.35,0.45,0.35,0.6499999999999999,0.45,0.35,0.45,0.35,0.6499999999999999
12,0.4,0.35,0.5,0.35,0.45,0.4,0.35,0.5,0.35,0.45
13,0.45,0.35,0.5,0.35,0.45,0.45,0.35,0.5,0.35,0.45
14,0.4,0.35,0.5,0.35,0.5,0.4,0.35,0.5,0.35,0.5
15,0.45,0.35,0.5,0.35,0.5,0.45,0.35,0.5,0.35,0.5
16,0.4,0.35,0.5,0.35,0.55,0.4,0.35,0.5,0.35,0.55
17,0.45,0.35,0.5,0.35,0.55,0.45,0.35,0.5,0.35,0.55
18,0.35,0.35,0.5,0.35,0.6,0.35,0.35,0.5,0.35,0.6
19,0.4,0.35,0.5,0.35,0.6,0.4,0.35,0.5,0.35,0.6
20,0.45,0.35,0.5,0.35,0.6,0.45,0.35,0.5,0.35,0.6
21,0.35,0.35,0.5,0.35,0.6499999999999999,0.35,0.35,0.5,0.35,0.6499999999999999
22,0.4,0.35,0.5,0.35,0.6499999999999999,0.4,0.35,0.5,0.35,0.6499999999999999
23,0.45,0.35,0.5,0.35,0.6499999999999999,0.45,0.35,0.5,0.35,0.6499999999999999
24,0.4,0.35,0.55,0.35,0.45,0.4,0.35,0.55,0.35,0.45
25,0.45,0.35,0.55,0.35,0.45,0.45,0.35,0.55,0.35,0.45
26,0.4,0.35,0.55,0.35,0.5,0.4,0.35,0.55,0.35,0.5
27,0.45,0.35,0.55,0.35,0.5,0.45,0.35,0.55,0.35,0.5
28,0.4,0.35,0.55,0.35,0.55,0.4,0.35,0.55,0.35,0.55
29,0.45,0.35,0.55,0.35,0.55,0.45,0.35,0.55,0.35,0.55
30,0.35,0.35,0.55,0.35,0.6,0.35,0.35,0.55,0.35,0.6
31,0.4,0.35,0.55,0.35,0.6,0.4,0.35,0.55,0.35,0.6
32,0.45,0.35,0.55,0.35,0.6,0.45,0.35,0.55,0.35,0.6
33,0.35,0.35,0.55,0.35,0.6499999999999999,0.35,0.35,0.55,0.35,0.6499999999999999
34,0.4,0.35,0.55,0.35,0.6499999999999999,0.4,0.35,0.55,0.35,0.6499999999999999
35,0.45,0.35,0.55,0.35,0.6499999999999999,0.45,0.35,0.55,0.35,0.6499999999999999
36,0.4,0.35,0.6,0.35,0.45,0.4,0.35,0.6,0.35,0.45
37,0.45,0.35,0.6,0.35,0.45,0.45,0.35,0.6,0.35,0.45
38,0.4,0.35,0.6,0.35,0.5,0.4,0.35,0.6,0.35,0.5
39,0.45,0.35,0.6,0.35,0.5,0.45,0.35,0.6,0.35,0.5
40,0.4,0.35,0.6,0.35,0.55,0.4,0.35,0.6,0.35,0.55
