IML,C,D,1_R_ISDR_SD,1_R_ISDR_NSD,1_R_ISDR_TOTAL,1_R_PFA,1_R_TOTAL,2_R_ISDR_SD,2_R_ISDR_NSD,2_R_ISDR_TOTAL,2_R_PFA,2_R_TOTAL,3_R_ISDR_SD,3_R_ISDR_NSD,3_R_ISDR_TOTAL,3_R_PFA,3_R_TOTAL,4_R_ISDR_SD,4_R_ISDR_NSD,4_R_ISDR_TOTAL,4_R_PFA,4_R_TOTAL,R_ISDR_SD_TOTAL,R_ISDR_NSD_TOTAL,R_ISDR_TOTAL_TOTAL,R_PFA_TOTAL,R_TOTAL_TOTAL,E_NC_ND_ISDR_S,E_NC_ND_ISDR_NS,E_NC_ND_ISDR_TOTAL,E_NC_ND_PFA_TOTAL,E_NC_ND_S,E_NC_ND_NS,E_NC_ND,E_NC_D,E_C,E_LT
0.05,1.7892938137712703e-24,9.527472377283597e-10,10.08405319459376,4232.49369158567,4242.577744780264,123.91951987116451,4366.497264651428,72.82375463212445,5337.6280142463875,5410.451768878512,354.69339439408895,5765.1451632726,73.95534382621152,5374.5243540593465,5448.479697885558,529.7811428849316,5978.26084077049,38.87066411911685,3650.2845137470445,3689.1551778661615,300.13955962322046,3989.294737489382,195.73381577204657,18594.93057363845,18790.664389410493,1308.5336167734056,20099.1980061839,195.73381558556173,18594.93055592218,18790.66437150774,1308.533615526704,195.73381558556173,19903.464171448883,20099.197987034444,0.0013317851499950496,2.5011407389018286e-18,20099.199318819596
0.1,1.3735782075351907e-16,4.244541534454842e-07,45.527652976766056,9214.446832853331,9259.974485830096,233.74693098161583,9493.721416811712,278.67093054073916,12042.648658030314,12321.319588571052,542.2641530738691,12863.583741644921,279.6935154881879,12081.595195696962,12361.28871118515,539.4681364672506,12900.756847652401,144.43141728669514,8260.64598374765,8405.077401034345,444.25252646927004,8849.329927503615,748.3235162923883,41599.33667032826,42347.66018662065,1759.7317469920054,44107.39193361266,748.3231986633635,41599.31901331702,42347.64221198038,1759.7310000665561,748.3231986633635,43359.050013383574,44107.373212046936,0.5933176355989446,1.920038166170727e-10,44107.96652968272
0.15000000000000002,9.732881410642069e-13,8.897178354415712e-06,114.77713988957514,14638.402841406052,14753.179981295627,296.2232806000411,15049.403261895668,576.497309376971,18619.75849941453,19196.2558087915,504.6241836204498,19700.87999241195,572.772429786687,18607.4881521032,19180.26058188989,350.10968521010074,19530.37026709999,304.56601431580714,12972.29236964717,13276.858383962977,1558.1125577705243,14834.970941733502,1568.6128933690402,64837.94186257095,66406.55475593999,2709.069707201116,69115.6244631411,1568.598937138832,64837.364987774956,66405.96392491378,2709.04560412212,1568.598937138832,67546.41059189707,69115.0095290359,12.43680331995362,1.3604979805831396e-06,69127.44633371636
0.2,2.401864802032642e-10,6.104693236817374e-05,219.16459492335312,20025.831357508003,20244.995952431356,309.0492853964004,20554.045237827755,917.2119612709427,24657.67846500032,25574.890426271264,490.0343287289346,26064.9247550002,913.0221488292284,24646.301295560315,25559.323444389545,765.8977722602674,26325.221216649814,507.3211497821202,17577.188203455233,18084.509353237354,4634.948120010809,22719.457473248163,2556.7198548056444,86906.99932152388,89463.71917632953,6199.929506396412,95663.64868272594,2556.563774287532,86901.69389494137,89458.2576692289,6199.551018230099,2556.563774287532,93101.24491317147,95657.808687459,85.33364857084842,0.00033574150089059416,95743.14267177133
0.25,1.1039189782618508e-08,0.00023828409089532516,315.34041404056916,23880.4744853807,24195.814899421268,356.63660575032975,24552.451505171597,1213.6625182360965,29097.55499347196,30311.217511708055,440.4122116040003,30751.629723312057,1196.9368683128164,28944.785448286686,30141.722316599502,1201.5038182024225,31343.226134801924,677.4937327029386,20848.83425732023,21526.327990023172,7206.4665107061155,28732.794500729287,3403.43353329242,102771.64918445959,106175.082717752,9205.019146262868,115380.10186401487,3402.6225116648206,102747.15920121846,106149.78171288325,9202.825635052188,3402.6225116648206,111949.98483627064,115352.60734793547,333.08226743107207,0.01543098572032815,115685.70504635226
0.3,1.890097182854738e-07,0.0006659461740867142,460.2144621041339,28300.84364518233,28761.058107286462,409.2059455682246,29170.264052854687,1525.2494892657267,33877.66329442286,35402.91278368859,702.639926325254,36105.55271001384,1496.9840423925311,33576.26881417611,35073.252856568644,2808.3306981865344,37881.583554755176,889.4389163613259,24417.014416689184,25306.45333305051,11571.152776026074,36877.60610907659,4371.886910123718,120171.79017047049,124543.6770805942,15491.329346106088,140035.0064267003,4368.974642983559,120091.73952806316,124460.71417104673,15481.010028534634,4368.974642983559,135572.7495565978,139941.72419958134,930.8838930114798,0.2642047397770682,140872.8722973326
0.35000000000000003,1.7074895832851886e-06,0.0014967066036508025,638.8344110146908,32864.33296727741,33503.167378292106,721.263849232606,34224.431227524714,1745.2829484367999,38678.22887422497,40423.51182266177,1651.1731510711068,42074.684973732874,1715.379396588606,38172.708081450306,39888.08747803891,5853.05064961106,45741.138127649974,1116.46775455635,28009.463253645215,29125.931008201565,18045.345897619125,47171.27690582069,5215.964510596446,137724.73317659792,142940.69768719436,26270.833547533897,169211.53123472826,5208.148849193936,137518.36484739004,142726.51369658395,26231.469027443294,5208.148849193936,163749.83387483333,168957.98272402727,2092.147997059095,2.3867917751327017,171052.5175128615
0.4,9.913357585519886e-06,0.0028901336057002474,757.9630791932743,35712.77882104307,36470.741900236346,603.8394237440398,37074.58132398038,1922.8979577147857,42106.82609900648,44029.724056721265,1259.5939790607968,45289.31803578206,1898.0112289592355,41230.14000193811,43128.15123089735,5813.424054458899,48941.575285356244,1268.1899991656112,30412.45305377414,31680.64305293975,19561.757492771518,51242.400545711265,5847.062265032906,149462.1979757618,155309.2602407947,27238.614950035255,182547.87519082997,5830.105677390814,149028.75486462686,154858.86054201768,27159.62246787689,5830.105677390814,176188.37733250373,182018.48300989455,4039.8950616431184,13.857256044598845,186072.23532758228
0.45,4.176730987913537e-05,0.0049953314227892745,917.6255038243821,39031.87197555113,39949.49747937551,1109.6625783216557,41059.16005769717,1922.3836830336504,46361.2014845352,48283.585167568854,2073.7323860127567,50357.31755358161,1911.666633090911,45366.04492688462,47277.711559975534,8144.9014956437395,55422.61305561927,1438.2484102430603,33216.6138994545,34654.862309697564,24419.334336388427,59074.19664608599,6189.924230192004,163975.73228642545,170165.65651661746,35747.630796366575,205913.28731298406,6158.74626217221,163149.80454528896,169308.55080746117,35567.5739090276,6158.74626217221,198717.37845431655,204876.12471648876,6982.366444126941,58.38388278605897,211916.87504340176
0.5,0.00013828018471045753,0.007939136230788768,1074.1519635830336,41831.84775308869,42905.99971667172,1869.2145813119505,44775.21429798367,1801.0165659006716,50218.27056248714,52019.28712838781,2630.8123788614243,54650.09950724924,1831.4439389040626,49106.642632525974,50938.08657143004,10026.356983685426,60964.44355511546,1572.8951305485334,35658.74433302268,37231.63946357121,28339.48922568589,65571.12868925711,6279.507598936301,176815.50528112447,183095.0128800608,42865.87316954469,225960.88604960547,6228.79229497724,175387.4869287737,181616.27922375096,42519.674721177136,6228.79229497724,217907.16164995084,224135.95394492807,11096.082203111151,193.29313089907487,235425.3292789383
