IML,C,D,1_R_ISDR_SD,1_R_ISDR_NSD,1_R_ISDR_TOTAL,1_R_PFA,1_R_TOTAL,2_R_ISDR_SD,2_R_ISDR_NSD,2_R_ISDR_TOTAL,2_R_PFA,2_R_TOTAL,R_ISDR_SD_TOTAL,R_ISDR_NSD_TOTAL,R_ISDR_TOTAL_TOTAL,R_PFA_TOTAL,R_TOTAL_TOTAL,E_NC_ND_ISDR_S,E_NC_ND_ISDR_NS,E_NC_ND_ISDR_TOTAL,E_NC_ND_PFA_TOTAL,E_NC_ND_S,E_NC_ND_NS,E_NC_ND,E_NC_D,E_C,E_LT
0.05,7.186119768212421e-35,1.6908720050279536e-19,42.09543905721751,8575.178598508643,8617.27403756586,221.66059031005975,8838.934627875919,116.89805177820885,6600.156007553686,6717.054059331896,222.45358325452372,6939.507642586419,158.99349083542637,15175.33460606233,15334.328096897756,444.11417356458344,15778.442270462338,158.99349083542637,15175.33460606233,15334.328096897756,444.11417356458344,158.99349083542637,15619.448779626913,15778.44227046234,1.1817815563589294e-13,5.0225113306073966e-29,15778.44227046234
0.1,6.749647862024424e-23,4.916269310967983e-13,205.81715519786604,18758.199804640644,18964.01695983851,303.9362748582188,19267.953234696728,432.9135971227393,14530.12809283369,14963.041689956428,445.45853636385607,15408.500226320284,638.7307523206053,33288.32789747433,33927.05864979494,749.3948112220748,34676.45346101701,638.7307523202913,33288.327897457966,33927.058649778264,749.3948112217064,638.7307523202913,34037.72270867967,34676.45346099996,3.436071080790845e-07,4.717453084289531e-17,34676.45346134357
0.15000000000000002,4.029956240373764e-17,6.530981170148316e-10,493.72892323763085,28253.161608372342,28746.890531609974,231.5157266723504,28978.406258282324,863.5228126254526,22063.977698488226,22927.500511113678,1191.7617511888484,24119.262262302527,1357.2517358630835,50317.13930686057,51674.391042723655,1423.2774778611988,53097.66852058485,1357.251734976665,50317.13927399854,51674.39100897521,1423.2774769316588,1357.251734976665,51740.4167509302,53097.66848590686,0.00045646229098701886,2.8166105675920468e-11,53097.668942369186
0.2,1.431920560801488e-13,5.476647521766195e-08,851.3772745329741,36544.432911878175,37395.81018641115,238.89040924132036,37634.70059565247,1302.594546739406,28733.46249689372,30036.057043633125,3123.6053228475707,33159.6623664807,2153.97182127238,65277.895408771896,67431.86723004427,3362.495732088891,70794.36296213316,2153.971703306627,65277.8918337223,67431.86353702893,3362.4955479363703,2153.971703306627,68640.38738165867,70794.3590849653,0.038277297232762464,1.0007956272824787e-07,70794.39736236261
0.25,3.964413262695646e-11,1.1597702943968643e-06,1158.0788211147214,42673.985724413855,43832.06454552858,446.6327722547833,44278.697317783364,1645.1911594247947,33899.8389802931,35545.03013971789,5566.732833575534,41111.76297329343,2803.269980539516,76573.82470470696,79377.09468524647,6013.365605830317,85390.4602910768,2803.266729279132,76573.73589362403,79377.00262290316,6013.358631469124,2803.266729279132,82587.09452509315,85390.36125437228,0.8105847984952503,2.7708013745020204e-05,85391.1718668788
0.3,2.46739704039644e-09,1.0980691278643875e-05,1424.5613685324959,48716.27335438455,50140.83472291705,898.2309268270935,51039.06564974414,1870.5328367788645,38759.75439344819,40630.287230227055,8442.510192067302,49072.79742229436,3295.0942053113604,87476.02774783273,90771.1219531441,9340.741118894395,100111.8630720385,3295.0580147689416,87475.06698474202,90770.12499951098,9340.63852805279,3295.0580147689416,96815.70551279481,100110.76352756376,7.674607160427428,0.0017245091916386153,100118.43985923337
0.35000000000000003,5.8667183324670674e-08,6.186740500358172e-05,1509.3912361284385,55046.602858062295,56555.99409419073,1543.5202781242929,58099.514372315025,1858.453324292994,43732.71609287349,45591.169417166486,11110.177857681598,56701.347274848085,3367.8445604214326,98779.31895093579,102147.16351135721,12653.698135805891,114800.86164716311,3367.636003048294,98773.2019360584,102140.83793910667,12652.91454202763,3367.636003048294,111426.11647808603,114793.75248113432,43.240265180470615,0.04100357390178551,114837.0337498887
0.4,7.190590513395792e-07,0.0002438011999746985,1539.8811036031157,60400.037232781586,61939.918336384704,1812.0217308558006,63751.9400672405,1901.1499694244826,46591.04774799431,48492.19771741879,12907.564197974745,61399.76191539354,3441.0310730275983,106991.0849807759,110432.1160538035,14719.585928830546,125151.70198263404,3440.1896718215435,106964.92351171926,110405.11318354082,14715.986694446927,3440.1896718215435,121680.91020616618,125121.09987798773,170.3970220787872,0.5025636016677766,125291.99946366818
0.45,5.461042015597925e-06,0.0007420936213641102,1286.4293289411944,66539.56694557016,67825.99627451136,2395.6481860433146,70221.64446055467,1719.2642487555795,50169.276516949925,51888.540765705504,14617.24016902058,66505.78093472609,3005.693577696774,116708.84346252008,119714.53704021686,17012.888355063897,136727.42539528076,3003.4466696269633,116621.5976953068,119625.04436493377,17000.170359983014,3003.4466696269633,133621.7680552898,136625.21472491676,518.6600540541947,3.816822747874477,137147.69160171883
0.5,2.898267883025167e-05,0.0018616203698905898,970.8142279326398,72142.46813768467,73113.28236561731,2800.4503271708036,75913.73269278812,1416.1948220507943,53727.6160053363,55143.81082738709,15623.676668243394,70767.48749563048,2387.009049983434,125870.08414302097,128257.0931930044,18424.126995414197,146681.2201884186,2382.496292186677,125632.12056948575,128014.61686167243,18389.295278815727,2382.496292186677,144021.4158483015,146403.91214048816,1301.0830203670926,20.25652751575337,147725.251688371
