IML,C,D,1_R_ISDR_SD,1_R_ISDR_NSD,1_R_ISDR_TOTAL,1_R_PFA,1_R_TOTAL,2_R_ISDR_SD,2_R_ISDR_NSD,2_R_ISDR_TOTAL,2_R_PFA,2_R_TOTAL,3_R_ISDR_SD,3_R_ISDR_NSD,3_R_ISDR_TOTAL,3_R_PFA,3_R_TOTAL,4_R_ISDR_SD,4_R_ISDR_NSD,4_R_ISDR_TOTAL,4_R_PFA,4_R_TOTAL,R_ISDR_SD_TOTAL,R_ISDR_NSD_TOTAL,R_ISDR_TOTAL_TOTAL,R_PFA_TOTAL,R_TOTAL_TOTAL,E_NC_ND_ISDR_S,E_NC_ND_ISDR_NS,E_NC_ND_ISDR_TOTAL,E_NC_ND_PFA_TOTAL,E_NC_ND_S,E_NC_ND_NS,E_NC_ND,E_NC_D,E_C,E_LT
0.05,2.0296842480150458e-22,7.621075807265856e-30,96.03392518447407,12573.428903318014,12669.462828502488,191.4164040145364,12860.879232517025,534.0625045797935,16023.282327620065,16557.34483219986,487.223796152212,17044.56862835207,429.3115806068092,14256.979708133013,14686.291288739822,619.7851225100458,15306.076411249867,186.4712827660372,8956.87273705918,9143.344019825217,325.83547209924603,9469.179491924464,1245.879293137114,51810.563676130274,53056.44296926739,1624.2607947760403,54680.70376404343,1245.879293137114,51810.563676130274,53056.44296926739,1624.2607947760403,1245.879293137114,53434.824470906315,54680.70376404343,1.0653020218985921e-23,2.8371673342557582e-16,54680.70376404343
0.1,5.039802929266705e-14,2.4582217170015095e-18,441.9503179296523,26196.5449524273,26638.49527035695,292.81923618164654,26931.314506538598,1468.8339816859186,30963.0723407563,32431.906322442217,521.6745029568143,32953.58082539903,1281.0963979886278,28236.657091222736,29517.753489211365,366.84431389396025,29884.597803105327,649.02136887748,19120.06641504447,19769.08778392195,507.00696443232977,20276.09474835428,3840.902066481679,104516.34079945082,108357.24286593248,1688.345017464751,110045.58788339724,3840.9020664814852,104516.34079944555,108357.24286592702,1688.345017464666,3840.9020664814852,106204.68581691022,110045.58788339171,3.4361927785837226e-12,7.044821999276797e-08,110045.58788346215
0.15000000000000002,4.243687178573182e-10,5.557683341634643e-13,781.7033589436019,34700.747126714836,35482.45048565844,313.64180433663023,35796.09228999507,1921.2238139103945,40639.50206185745,42560.72587576784,397.2668660073142,42957.99274177516,1817.585631738393,37104.427452583055,38922.01308432145,218.29121608432837,39140.304300405776,1028.6011249966894,25679.15017461382,26707.75129961051,1437.0985901468184,28144.84988975733,5549.113929589079,138123.82681576916,143672.94074535824,2366.298476575091,146039.23922193336,5549.113927231124,138123.82675707695,143672.94068430807,2366.298475569593,5549.113927231124,140490.12523264653,146039.23915987764,7.768734294387069e-07,0.0005931982105897766,146039.23975385271
0.2,9.436777621274211e-08,8.521126581985488e-10,1224.0531342253157,43425.532516828505,44649.58565105382,640.1930896067612,45289.778740660586,1576.332914718164,50686.72363634525,52263.05655106341,646.7259272704268,52909.78247833384,1878.5775031586686,46211.780084573365,48090.35758773203,1114.635495883818,49204.99308361585,1475.261595505075,32621.80741744875,34097.06901295383,4609.48532598437,38706.5543389382,6154.225147607223,172945.84365519587,179100.0688028031,7011.039838745376,186111.1086415485,6154.224561602589,172945.8271873119,179100.05174891447,7011.039171154942,6154.224561602589,179956.86635846682,186111.0909200694,0.0011911143189729332,0.13191075032433555,186111.22402193403
0.25,3.523174913647478e-06,1.1299452350796934e-07,1563.5735425991684,50454.86027091962,52018.433813518786,839.3332408209305,52857.76705433972,858.3427733444032,59900.67509976006,60759.017873104465,1132.1263360445623,61891.144209149024,1393.5965328966467,55428.26402447302,56821.86055736967,2321.395209674488,59143.25576704416,1861.2941534740303,39425.7654514557,41287.05960492973,7622.723501288976,48909.7831062187,5676.807002314248,205209.5648466084,210886.37184892266,11915.578287828957,222801.9501367516,5676.786360484386,205208.81866994218,210885.60503042658,11915.534960772104,5676.786360484386,217124.3536307143,222801.13999119867,0.15794734667981455,4.924823547133267,222806.22276209248
0.3,4.696052845631202e-05,3.6560692771777925e-06,1620.448134830805,58504.06347685626,60124.51161168706,2088.513969024371,62213.02558071144,273.43632553682295,68725.81398939928,68999.2503149361,2100.1591550096546,71099.40946994575,628.1263332829665,64324.33386928137,64952.46020256434,4676.183668819494,69628.64387138383,1949.316475434747,45934.313276065026,47883.62975149977,12790.53546144726,60674.16521294703,4471.327269085342,237488.52461160193,241959.85188068726,21655.39225430078,263615.24413498805,4471.100946479314,237476.50379125998,241947.60473773928,21654.29613574032,4471.100946479314,259130.7999270003,263601.9008734796,5.110348183066911,65.64315482368013,263672.6543764864
0.35000000000000003,0.0003249306286319109,4.8263766679589174e-05,1190.7791206145848,67577.88430575251,68768.6634263671,4814.734893251443,73583.39831961854,618.3751140321028,77084.07302153831,77702.4481355704,5569.8276348238505,83272.27577039425,505.72627881982874,72911.46170377139,73417.18798259122,8752.546971959713,82169.73495455094,1588.8270449275262,53694.28014365294,55283.10718858047,19253.56963253909,74536.67682111956,3903.7075583940423,271267.69917471515,275171.40673310915,38390.67913257409,313562.0858656833,3902.2507778317245,271166.4678438762,275068.71862170787,38376.35254834668,3902.2507778317245,309542.8203922229,313445.0711700546,67.44294776899315,454.19999014881876,313966.71410797245
0.4,0.0014395877126650754,0.00034666336768466726,836.1716199278286,78674.66555295677,79510.8371728846,6727.497981809184,86238.33515469378,1889.6420742802165,85089.45363481976,86979.09570909997,8329.68373323026,95308.77944233024,1028.230417657215,80513.22119952986,81541.45161718708,14030.886595241805,95572.33821242888,1177.1370061583266,60652.36715758708,61829.50416374541,25721.71645579543,87551.22061954084,4931.181118023586,304929.7075448935,309860.8886629171,54809.784766076686,364670.67342899373,4922.375251341517,304385.17870124005,309307.5539525816,54711.908081775044,4922.375251341517,359097.0867830151,364019.4620343566,483.8812188571772,2012.3086815910685,366515.65193480486
0.45,0.0046413776275592705,0.0016145683137155896,1718.467261443905,88132.49747514637,89850.96473659028,9032.09511186323,98883.0598484535,4607.409658546854,92225.0385529235,96832.44821147036,10375.891856168364,107208.34006763872,2775.810050810931,87283.47065585115,90059.28070666209,16974.54450193243,107033.82520859451,1244.5517537599524,67175.35856949253,68419.91032325248,30788.411587185576,99208.32191043806,10346.238724561641,334816.36525341356,345162.6039779752,67170.94305714959,412333.5470351248,10281.590747268865,332724.2812261267,343005.8719733956,66751.22863560004,10281.590747268865,399475.5098617268,409757.10060899565,2246.427865910499,6487.888450499043,418491.4169254052
0.5,0.01183227329138846,0.00546331787445846,3969.038727401501,97238.34161407678,101207.38034147827,11414.350394910123,112621.7307363884,7795.123190418979,97935.57987659189,105730.70306701087,12374.437147871102,118105.14021488196,4989.116976896764,93450.20826540673,98439.3252423035,20013.252370600436,118452.57761290393,2182.670387771929,74559.05023617693,76741.72062394886,35265.03303248252,112006.75365643138,18935.949282489175,363183.1799922523,382119.12927474146,79067.07294586417,461186.2022206057,18609.664930834584,356925.1896138556,375534.85454469017,77704.67234748359,18609.664930834584,434629.8619613392,453239.5268921738,7546.465753534836,16539.587034359913,477325.57968006853
