,h111,bx111,hx111,by111,hy111,h121,bx121,hx121,by121,hy121,h131,bx131,hx131,by131,hy131,h141,bx141,hx141,by141,hy141,h151,bx151,hx151,h211,bx211,hx211,by211,hy211,h221,bx221,hx221,by221,hy221,h231,bx231,hx231,by231,hy231,h241,bx241,hx241,by241,hy241,h251,bx251,hx251,h311,bx311,hx311,by311,hy311,h321,bx321,hx321,by321,hy321,h331,bx331,hx331,by331,hy331,h341,bx341,hx341,by341,hy341,h351,bx351,hx351,h411,by411,hy411,h421,by421,hy421,h431,by431,hy431,h441,by441,hy441,h451,h112,bx112,hx112,by112,hy112,h122,bx122,hx122,by122,hy122,h132,bx132,hx132,by132,hy132,h142,bx142,hx142,by142,hy142,h152,bx152,hx152,h212,bx212,hx212,by212,hy212,h222,bx222,hx222,by222,hy222,h232,bx232,hx232,by232,hy232,h242,bx242,hx242,by242,hy242,h252,bx252,hx252,h312,bx312,hx312,by312,hy312,h322,bx322,hx322,by322,hy322,h332,bx332,hx332,by332,hy332,h342,bx342,hx342,by342,hy342,h352,bx352,hx352,h412,by412,hy412,h422,by422,hy422,h432,by432,hy432,h442,by442,hy442,h452,T1,T2,Weight,Mstar1,Mstar2,Part Factor1,Part Factor2
0,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.5537071089505261,0.5473020942351287,1496.6875,287.0363920445008,288.2068872145932,1.1952691443207644,1.192861388476253
1,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.5144968832431596,0.5090964611310111,1533.25,284.8733793742981,285.8923428557188,1.1996143753529922,1.1975845603705655
2,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.44999999999999996,0.35,0.45,0.35,0.45,0.44999999999999996,0.35,0.45,0.35,0.45,0.44999999999999996,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.44999999999999996,0.35,0.45,0.35,0.45,0.44999999999999996,0.35,0.45,0.35,0.45,0.44999999999999996,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.44999999999999996,0.35,0.45,0.35,0.45,0.44999999999999996,0.35,0.45,0.35,0.45,0.44999999999999996,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.44999999999999996,0.35,0.45,0.35,0.45,0.44999999999999996,0.35,0.45,0.35,0.45,0.44999999999999996,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.47869067126121206,0.4732405046848491,1574.6875,281.14740753214073,282.1815568109041,1.2067639546494373,1.2048237677952789
3,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.553707108950526,0.5329128184199649,1559.6875,287.0363920445007,290.9161363906262,1.1952691443207644,1.1871438616979881
4,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.5143045186112811,0.4941474937718929,1596.25,284.9085488649779,288.8022597883347,1.1995448343848198,1.1916219755566233
5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.35,0.5,0.35,0.47810202739303376,0.4577874392005727,1637.6875,281.2566912426363,285.22169596645034,1.2065605746619625,1.1989240038556543
6,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.553707108950526,0.5208654282640253,1622.6875,287.0363920445008,293.3435129385817,1.1952691443207644,1.1818587080672993
7,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.5141035097439388,0.48157913915560957,1659.25,284.94530043880354,291.44020673183746,1.19947212527567,1.186015434976464
8,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.35,0.55,0.35,0.4774782489225595,0.44467959567863197,1700.6875,281.37241059069873,288.01995061679133,1.206344790318708,1.1932485133424957
9,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.35,0.6,0.35,0.35,0.6,0.35,0.35,0.6,0.35,0.35,0.6,0.35,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.35,0.6,0.35,0.35,0.6,0.35,0.35,0.6,0.35,0.35,0.6,0.35,0.5537071089505264,0.5106152517005528,1685.6875,287.0363920445007,295.53589741083226,1.1952691443207648,1.1769614303635374
