Period,Sd,Sa
0.0,0.0,0.1548679920307187
0.1,0.0785974222787924,0.3162998837256058
0.2,0.3579662098631794,0.3601411702657403
0.3,0.6674518912851137,0.2984476667229799
0.4,1.0470274218737174,0.2633472591994415
0.5,1.2778674463166135,0.20570105887339885
0.6,1.5185246142479143,0.16975011004580062
0.7,1.7459754017248694,0.1433945911839858
0.8,1.9540002902760143,0.12286703532516587
0.9,2.0984673035162396,0.10425764656536413
1.0,2.344651928122347,0.09435591025002633
1.1,2.591843900358291,0.08620137645314797
1.2,2.7871785316217514,0.0778920305309656
1.3,2.909045656504334,0.069271495248551
1.4,2.9405036171498455,0.06037489326019117
1.5,2.7954867562249963,0.04999949872905241
1.6,3.0889521636276536,0.04855812925091421
1.7,3.387532371965114,0.04717113658780436
1.8,3.6809426011899093,0.04571984658745956
1.9,3.9762558268549766,0.0443259289476057
2.0,4.266587350974947,0.04292510631683437
2.1,4.550705864708823,0.04152703325117676
2.2,4.8255466623037195,0.04012286044425476
2.3,5.084285181331901,0.03867808466887246
2.4,5.362716267767058,0.03746735762695892
2.5,5.586749874086043,0.03597244356049094
2.6,5.793556687910534,0.03448969025988605
2.7,5.987120774719839,0.0330507424595593
2.8,6.1723014975066395,0.031682671797125986
2.9,6.3145864603672015,0.03021618616752757
3.0,6.434949805210947,0.028773545777913273
3.1,6.605888813542461,0.027662956976410538
3.2,6.744830572954983,0.026507075651216294
3.3,6.859536112023237,0.025348811177536065
3.4,6.962285380204533,0.024237326656334282
3.5,7.028704970754682,0.02309032016919646
3.6,7.079693021763802,0.021983667901851738
3.7,7.11484934929403,0.020914765035567703
3.8,7.120191421242299,0.019843359731771152
3.9,7.084526980223738,0.018744435842788794
4.0,3.534316007993458,0.008889475236323344
