,hi1,bx1,hx1,by1,hy1,hi2,bx2,hx2,by2,hy2
0,0.4999999999999999,0.3999999999999999,0.5,0.3999999999999999,0.5,0.4999999999999999,0.3999999999999999,0.5,0.3999999999999999,0.5
1,0.4999999999999999,0.3999999999999999,0.5,0.3999999999999999,0.55,0.4999999999999999,0.3999999999999999,0.5,0.3999999999999999,0.55
2,0.4999999999999999,0.3999999999999999,0.5,0.3999999999999999,0.6,0.4999999999999999,0.3999999999999999,0.5,0.3999999999999999,0.6
3,0.4999999999999999,0.3999999999999999,0.5,0.3999999999999999,0.6499999999999999,0.4999999999999999,0.3999999999999999,0.5,0.3999999999999999,0.6499999999999999
4,0.4999999999999999,0.3999999999999999,0.5,0.3999999999999999,0.7,0.4999999999999999,0.3999999999999999,0.5,0.3999999999999999,0.7
5,0.4999999999999999,0.3999999999999999,0.55,0.3999999999999999,0.5,0.4999999999999999,0.3999999999999999,0.55,0.3999999999999999,0.5
6,0.4999999999999999,0.3999999999999999,0.55,0.3999999999999999,0.55,0.4999999999999999,0.3999999999999999,0.55,0.3999999999999999,0.55
7,0.4999999999999999,0.3999999999999999,0.55,0.3999999999999999,0.6,0.4999999999999999,0.3999999999999999,0.55,0.3999999999999999,0.6
8,0.4999999999999999,0.3999999999999999,0.55,0.3999999999999999,0.6499999999999999,0.4999999999999999,0.3999999999999999,0.55,0.3999999999999999,0.6499999999999999
9,0.4999999999999999,0.3999999999999999,0.55,0.3999999999999999,0.7,0.4999999999999999,0.3999999999999999,0.55,0.3999999999999999,0.7
10,0.4999999999999999,0.3999999999999999,0.6,0.3999999999999999,0.5,0.4999999999999999,0.3999999999999999,0.6,0.3999999999999999,0.5
11,0.4499999999999999,0.3999999999999999,0.6,0.3999999999999999,0.55,0.4499999999999999,0.3999999999999999,0.6,0.3999999999999999,0.55
12,0.4999999999999999,0.3999999999999999,0.6,0.3999999999999999,0.55,0.4999999999999999,0.3999999999999999,0.6,0.3999999999999999,0.55
13,0.4499999999999999,0.3999999999999999,0.6,0.3999999999999999,0.6,0.4499999999999999,0.3999999999999999,0.6,0.3999999999999999,0.6
14,0.4999999999999999,0.3999999999999999,0.6,0.3999999999999999,0.6,0.4999999999999999,0.3999999999999999,0.6,0.3999999999999999,0.6
15,0.4499999999999999,0.3999999999999999,0.6,0.3999999999999999,0.6499999999999999,0.4499999999999999,0.3999999999999999,0.6,0.3999999999999999,0.6499999999999999
16,0.4999999999999999,0.3999999999999999,0.6,0.3999999999999999,0.6499999999999999,0.4999999999999999,0.3999999999999999,0.6,0.3999999999999999,0.6499999999999999
17,0.4499999999999999,0.3999999999999999,0.6,0.3999999999999999,0.7,0.4499999999999999,0.3999999999999999,0.6,0.3999999999999999,0.7
18,0.4999999999999999,0.3999999999999999,0.6,0.3999999999999999,0.7,0.4999999999999999,0.3999999999999999,0.6,0.3999999999999999,0.7
19,0.4499999999999999,0.3999999999999999,0.6499999999999999,0.3999999999999999,0.5,0.4499999999999999,0.3999999999999999,0.6499999999999999,0.3999999999999999,0.5
20,0.4999999999999999,0.3999999999999999,0.6499999999999999,0.3999999999999999,0.5,0.4999999999999999,0.3999999999999999,0.6499999999999999,0.3999999999999999,0.5
21,0.4499999999999999,0.3999999999999999,0.6499999999999999,0.3999999999999999,0.55,0.4499999999999999,0.3999999999999999,0.6499999999999999,0.3999999999999999,0.55
