Element,Storey,Direction,b,h,coverNeg,coverPos,lp,phi1Neg,phi2Neg,phi3Neg,m1Neg,m2Neg,m3Neg,phi1,phi2,phi3,m1,m2,m3
Beam,1,0,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,0.0045319253955009384,0.06562877661376905,0.07074219059448256,158.73444165341033,159.77546414314355,2.673687524965814,0.005036610571809982,0.06595883642273177,0.06999277030561661,224.92221668274883,226.38160112082508,2.2933361745189025
Beam,1,1,0.4,0.8000000000000002,0.03,0.03,0.3651999999999999,0.0035632527576868267,0.052316421418310666,0.05629921077617436,252.2757125201044,253.36984397688525,2.3676733403787367,0.0037500548449293657,0.05178093343589973,0.05509282924526868,327.1818534890169,328.66406721284665,2.101040467346465
Beam,2,0,0.4,0.6499999999999999,0.03,0.03,0.3651999999999999,0.004397494133803086,0.06509251351855623,0.07003900439306472,158.729993569192,159.7844912888973,2.524641160629436,0.004823184804070418,0.06465985326106334,0.06872997130924778,195.22775175597687,196.59296807157173,2.0574647725415183
Beam,2,1,0.4,0.8000000000000002,0.03,0.03,0.3651999999999999,0.0035425381644552507,0.051933131400549684,0.055798890908204314,245.53291633586517,246.6401512358641,2.2153349189208527,0.003586369838866418,0.05306116836571268,0.05659373854639355,279.06424484709544,280.4603430917652,1.9694004278264108
Beam,3,0,0.35,0.6,0.03,0.03,0.3651999999999999,0.004666029443872286,0.07086528685291603,0.07616684605160765,117.28852166501235,118.19362561899723,2.1965520350333847,0.0047359015904694214,0.07166097608726624,0.07626093794137895,130.68306669174842,131.74002083388024,1.7112282401103125
Beam,3,1,0.35,0.7500000000000002,0.03,0.03,0.3651999999999999,0.0036843742009455664,0.056310376273080415,0.06042715055668594,187.6500093734137,188.64855145416084,1.9189453000037415,0.004194391579529636,0.05652078393811578,0.060250297335355765,187.57269080923112,188.7007792573477,1.4801939029897824
Beam,4,0,0.35,0.6,0.03,0.03,0.3651999999999999,0.00458477969234102,0.07062012693996912,0.07580078916147663,117.28666259902,118.19734757484323,2.0927299787301195,0.005010060397490725,0.07000032113237102,0.07408337796503378,117.24931918561907,118.23971032134097,1.01376109033518
Beam,4,1,0.35,0.7500000000000002,0.03,0.03,0.3651999999999999,0.0036843742009455664,0.056310376273080415,0.06042715055668594,187.6500093734137,188.64855145416084,1.9189453000037415,0.003907917980781873,0.05664732648310434,0.05964865147992068,187.29285450239232,188.7255674789554,0.6703938136028089
Column,1,0,0.5,0.5,0.03,0.03,0.3651999999999999,0.008030277916559851,0.10261260079173101,0.1036387267996483,333.13306969171987,343.89112891588957,191.4407282765109,0.008030277916559851,0.10261260079173101,0.1036387267996483,333.13306969171987,343.89112891588957,191.4407282765109
Column,2,0,0.5,0.5,0.03,0.03,0.3651999999999999,0.007730521820605716,0.0971797462599891,0.0978777789406396,304.99771384367483,310.6354505407928,154.5050154986954,0.007730521820605716,0.0971797462599891,0.0978777789406396,304.99771384367483,310.6354505407928,154.5050154986954
Column,3,0,0.45,0.45,0.03,0.03,0.3651999999999999,0.008592363580517638,0.10619635371604108,0.10932432267605234,209.7464260401148,212.45282194996196,99.38183333181959,0.008592363580517638,0.10619635371604108,0.10932432267605234,209.7464260401148,212.45282194996196,99.38183333181959
Column,4,0,0.45,0.45,0.03,0.03,0.3651999999999999,0.008380868006027557,0.10195160570731313,0.10812536183558112,180.58417706103683,182.743836589196,67.86551724737669,0.008380868006027557,0.10195160570731313,0.10812536183558112,180.58417706103683,182.743836589196,67.86551724737669
