,he1,hi1,b1,h1,he2,hi2,b2,h2,T,Weight,Mstar,Part Factor
0,0.25,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.8510716272337756,82.2652587890625,71.62777311279166,1.1964022064907516
1,0.25,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.81604296862669,88.5152587890625,72.63630394430382,1.1883188795745863
2,0.25,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.7895557694174756,94.7652587890625,73.4742670392573,1.1812576234782797
3,0.25,0.44999999999999996,0.25,0.4,0.25,0.39999999999999997,0.25,0.4,0.8313210990687729,79.7340087890625,67.80094905329648,1.2221417598939721
4,0.25,0.44999999999999996,0.25,0.4,0.25,0.44999999999999996,0.25,0.4,0.8218784838453775,82.9215087890625,68.40096307115338,1.2186878859475092
5,0.25,0.44999999999999996,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.7836108119388139,85.9840087890625,68.74499009519946,1.2166022141831707
6,0.25,0.44999999999999996,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.7735402286581956,89.1715087890625,69.5883037449754,1.2111798243144387
7,0.25,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.7472653714458753,92.2340087890625,69.51330200035692,1.2116793718463132
8,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.7366261034838246,95.4215087890625,70.62112247776548,1.2039748331084978
9,0.25,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.7188621553006914,98.4840087890625,70.14186989659446,1.2073923461215303
10,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.7076463701364978,101.6715087890625,71.52077405969005,1.197231455164612
11,0.3,0.3,0.3,0.55,0.3,0.3,0.3,0.55,0.8623373028367163,97.172385,75.42317136522749,1.1637701255822666
12,0.3,0.3,0.3,0.6,0.3,0.3,0.3,0.6,0.8474136352239993,104.67238499999999,75.95644702402265,1.1587552304965043
