ITEM,ID,EDP,Component,Group,Quantity,Damage States,"DS1, Median Demand","DS2, Median Demand","DS3, Median Demand","DS4, Median Demand","DS5, Median Demand","DS1, Total Dispersion (Beta)","DS2, Total Dispersion (Beta)","DS3, Total Dispersion (Beta)","DS4, Total Dispersion (Beta)","DS5, Total Dispersion (Beta)","DS1, Repair COST","DS2, Repair COST","DS3, Repair COST","DS4, Repair COST","DS5, Repair COST","DS1, COST Dispersion (Beta)","DS2, COST Dispersion (Beta)","DS3, COST Dispersion (Beta)","DS4, COST Dispersion (Beta)","DS5, COST Dispersion (Beta)","DS1, best fit","DS2, best fit","DS3, best fit","DS4, best fit","DS5, best fit"
,,PSD,S,1,4,3,0.02,0.0275,0.05,,,0.4,0.3,0.3,,,2090,3026,4093,,,0.1,0.1,0.1,,,,,,,
,,PSD,S,1,10,3,0.02,0.0275,0.05,,,0.4,0.3,0.3,,,1744,2861,4488,,,0.1,0.1,0.1,,,,,,,
,,PSD,NS,2,1,3,0.005,0.017,0.028,,,0.6,0.6,0.45,,,917.98,4852.18,30096.63,,,0.8015,0.5694,0.3613,,,lognormal,lognormal,lognormal,,
