IML,C,D,1_R_ISDR_SD,1_R_ISDR_NSD,1_R_ISDR_TOTAL,1_R_PFA,1_R_TOTAL,2_R_ISDR_SD,2_R_ISDR_NSD,2_R_ISDR_TOTAL,2_R_PFA,2_R_TOTAL,3_R_ISDR_SD,3_R_ISDR_NSD,3_R_ISDR_TOTAL,3_R_PFA,3_R_TOTAL,4_R_ISDR_SD,4_R_ISDR_NSD,4_R_ISDR_TOTAL,4_R_PFA,4_R_TOTAL,5_R_ISDR_SD,5_R_ISDR_NSD,5_R_ISDR_TOTAL,5_R_PFA,5_R_TOTAL,6_R_ISDR_SD,6_R_ISDR_NSD,6_R_ISDR_TOTAL,6_R_PFA,6_R_TOTAL,R_ISDR_SD_TOTAL,R_ISDR_NSD_TOTAL,R_ISDR_TOTAL_TOTAL,R_PFA_TOTAL,R_TOTAL_TOTAL,E_NC_ND_ISDR_S,E_NC_ND_ISDR_NS,E_NC_ND_ISDR_TOTAL,E_NC_ND_PFA_TOTAL,E_NC_ND_S,E_NC_ND_NS,E_NC_ND,E_NC_D,E_C,E_LT
0.05,4.652590842315068e-16,0.00014799132755703747,123.02042245743746,14304.812362723063,14427.8327851805,226.2686698892154,14654.101455069716,487.94804553583685,15904.377185461326,16392.32523099716,490.07941964987435,16882.404650647037,578.633070937244,17596.93385268503,18175.566923622275,546.9518099964962,18722.51873361877,598.1021486260698,17946.748235071413,18544.85038369748,558.4722190102618,19103.322602707743,445.40236074360143,15071.633835763078,15517.036196506679,560.2061135616586,16077.242310068337,202.8013861148489,9455.617521531229,9658.418907646077,341.5554859101216,9999.974393556198,2435.9074344150386,90280.12299323513,92716.03042765018,2723.533718017628,95439.56414566781,2435.5469412400125,90266.7623179813,92702.30925922134,2723.130658647051,2435.5469412400125,92989.89297662834,95425.43991786835,310.30158561012155,9.7553440420965e-10,95735.74150347945
0.1,2.742624196159629e-10,0.002183832335835705,549.253181302767,29026.892152633154,29576.14533393592,510.6281660745073,30086.77350001043,1352.5794614060162,30637.225050156,31989.80451156202,859.9654884627389,32849.77000002476,1473.9564217348711,33245.736101063376,34719.69252279825,1178.185395461302,35897.87791825955,1477.7376428722582,33446.34022288839,34924.07786576065,1038.1794757662676,35962.257341526914,1232.4778951390626,29065.8182148941,30298.296110033163,797.0530230296728,31095.349133062835,667.4756410921906,19621.221208103387,20288.696849195578,1987.1478935555058,22275.844742751084,6753.480243547166,175043.23294973842,181796.7131932856,6371.159442349995,188167.8726356356,6738.731773163699,174660.96782955062,181399.69960271433,6357.245896599472,6738.731773163699,181018.21372615008,187756.94549931376,4578.961804835823,0.0005750611544943523,192335.90787921075
0.15000000000000002,1.422729645843762e-07,0.0081801432961297,935.8369515667748,38414.345081704436,39350.18203327121,685.249820067712,40035.43185333892,1868.9306355904982,39593.447330540606,41462.377966131105,574.6077886706444,42036.985754801746,1900.874982638147,42866.18772453931,44767.06270717746,872.86171815145,45639.92442532891,1872.0888255776915,43369.681682300725,45241.77050787841,957.0824096676874,46198.8529175461,1726.8668008964942,37556.479279636114,39283.34608053261,663.1363778915409,39946.48245842415,990.8625822338988,25553.555339266637,26544.417921500535,3149.9553434257023,29694.37326492624,9295.460778503504,227353.69643798782,236649.15721649135,6902.893457874737,243552.05067436607,9219.421265657209,225493.87854053313,234713.29980619036,6846.425826169968,9219.421265657209,232340.3043667031,241559.7256323603,17151.75555267363,0.2983115783117067,258711.77949661223
0.2,6.115920796703493e-06,0.0186790483714303,1328.7496343411226,47202.73337059255,48531.483004933674,3132.7418332185,51664.22483815217,1730.9728636694178,48625.54390795888,50356.5167716283,3342.3641131942363,53698.88088482254,1417.9637080556217,53553.12631970528,54971.0900277609,5812.3205752148515,60783.41060297575,1307.4671326413359,55402.98192470834,56710.44905734968,6099.568579487158,62810.01763683684,1598.0776061424858,48278.522778208215,49876.6003843507,6014.837032380613,55891.437416731314,1428.3287911988705,33125.44263925537,34553.771430454246,11595.706703328091,46149.47813378234,8811.559736048854,286188.3509404287,294999.9106764775,35997.53883682345,330997.44951330096,8646.915301338895,280840.9072786223,289487.8225799612,35324.92302188531,8646.915301338895,316165.83030050766,324812.74560184655,39165.152271413775,12.823588733276193,363990.7214619936
0.25,7.718907882216891e-05,0.033294848068089994,1552.649478434344,51331.07417296543,52883.72365139978,3706.259837095091,56589.983488494865,1442.2954921625844,53432.693421496144,54874.98891365873,3952.9909305132687,58827.979844172,916.1748091416343,59947.43512305443,60863.609932196065,8133.043938215009,68996.65387041107,823.1103874371436,62668.32533493934,63491.43572237648,9422.187336651044,72913.62305902752,1322.9770825350697,55679.23429634821,57002.21137888328,9248.849876268245,66251.06125515152,1703.4325855490727,38749.21184949547,40452.644435044545,16114.34924316952,56566.993678214065,7760.639835259848,321807.97419829905,329568.61403355893,50577.68116191218,380146.2951954711,7501.671419227665,311069.4135752407,318571.0849944684,48889.93089194457,7501.671419227665,359959.34446718526,367461.01588641293,69805.75716194029,161.84660240359256,437428.6196507568
0.3,0.00047953491994353313,0.05130853168702584,1553.9223404101067,57290.280524376845,58844.20286478695,6688.844113454029,65533.04697824098,864.444867851767,60275.25915359805,61139.70402144981,7051.47952939626,68191.18355084606,716.8194098607248,68155.24626124863,68872.06567110935,13673.221240785591,82545.28691189495,1232.784976676172,72247.43827705813,73480.2232537343,15630.202925125339,89110.42617885963,1146.6124675463143,65309.38203814662,66455.99450569294,15225.58331994318,81681.57782563612,1667.1437624741582,45510.25863132812,47177.40239380228,24031.399663425367,71208.80205722764,7181.727824819243,368787.8648857564,375969.5927105757,82300.73079212976,458270.3235027054,6809.976726776501,349698.12811763136,356508.10484440794,78040.56001039113,6809.976726776501,427738.6881280225,434548.664854799,107529.84156641686,1005.4673369731869,543083.973758189
0.35000000000000003,0.0018955826912261692,0.07195394143700799,1313.1680891177637,63145.10397352503,64458.27206264279,11500.453666144916,75958.72572878771,736.5735563937392,66706.12633861283,67442.69989500656,11064.065339078299,78506.76523408486,2246.014724836868,76405.47939775346,78651.49412259033,18454.332233988225,97105.82635657856,4136.040078485035,81480.06615262109,85616.10623110613,20178.18643019521,105794.29266130133,2531.2743374011334,74208.25234925593,76739.52668665706,20884.265532229663,97623.79221888672,1526.8791821653297,52715.52303972361,54242.40222188894,32455.02617656212,86697.42839845105,12489.94996839987,414660.551251492,427150.5012198918,114536.32937819842,541686.8305980902,11569.276669152003,384094.6243458969,395663.9010150489,106093.49810031815,11569.276669152003,490188.122446215,501757.39911536704,150583.81468538684,3974.572864858465,656315.7866656124
0.4,0.005506677244874196,0.09453286138799727,1054.7299232838477,69544.45399692732,70599.18392021116,13424.002972523185,84023.18689273435,398.8530242283987,71623.71622477117,72022.56924899957,12560.662792596226,84583.2320415958,2090.026957632376,81723.09690547588,83813.12386310825,20691.698592602832,104504.82245571108,4336.145602810815,87124.25300267298,91460.39860548379,23463.432025458416,114923.8306309422,2482.845680109445,79588.86511019088,82071.71079030032,24524.931844285944,106596.64263458626,1505.6851276967138,57827.41986000019,59333.104987696905,36515.48254305485,95848.58753075176,11868.286315761596,447431.8051000384,459300.09141580004,131180.21077052146,590480.3021863214,10687.16660671717,402903.8497241096,413591.0163308268,118125.29043447445,10687.16660671717,521029.140158584,531716.3067653012,197120.77769653354,11546.154147911646,740383.2386097464
0.45,0.012836641363952066,0.11845137887774904,2224.2691692432745,81526.99998935765,83751.26915860092,18192.969811033083,101944.238969634,3863.8958130177507,80938.53504516406,84802.4308581818,17153.972177365053,101956.40303554686,8028.402552627431,90561.18221304074,98589.58476566817,25177.59556732433,123767.1803329925,11173.376364350499,95593.86536615322,106767.24173050371,27225.06746357937,133992.3091940831,7569.129833117249,88490.93811341171,96060.06794652896,29322.286792602412,125382.35473913138,3302.1384202093686,67810.15595169133,71112.2943719007,44090.592428213095,115202.8868001138,36161.212152565575,504921.6766788187,541082.8888313842,161162.48424011734,702245.3730715016,31468.661968783785,439399.2518027351,470867.9137715188,140248.83118421346,31468.661968783785,579648.0829869485,611116.7449557324,245175.3908590637,26915.29453040159,883207.4303451977
0.5,0.02542285611042714,0.14322259189230863,3283.0639965037844,89320.64726013962,92603.71125664341,21798.20766203353,114401.91891867694,5617.548007464564,86634.41745156096,92251.96545902552,19864.12465386984,112116.09011289536,10725.037325906918,94971.32568784516,105696.36301375208,28857.83942681323,134554.2024405653,13850.698531090602,99120.01826890335,112970.71679999396,31137.14952719392,144107.86632718786,8966.589031380954,91353.22232088966,100319.81135227061,31979.375992291112,132299.18734456174,4092.9305480690764,70557.7293366374,74650.65988470649,45742.45882771275,120393.11871241924,46535.8674404159,531957.3603259762,578493.227766392,179379.15608991438,757872.3838563063,38857.248247212134,444182.09746674047,483039.3457139526,149780.82029921914,38857.248247212134,593962.9177659596,632820.1660131718,292668.1616122612,53305.505748389885,978793.8333738229
