,he1,hi1,b1,h1,he2,hi2,b2,h2,he3,hi3,b3,h3,he4,hi4,b4,h4,T,Weight,Mstar,Part Factor
22,0.25,0.35,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.3,0.25,0.4,1.6053275447293667,241.9771728515625,130.56935456091918,1.2656153014629719
23,0.25,0.35,0.25,0.4,0.25,0.35,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.25,0.25,0.4,1.5696959854732044,242.7271728515625,126.17237139018503,1.3050587627613817
24,0.25,0.35,0.25,0.4,0.25,0.35,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.3,0.25,0.4,1.556313306648247,246.8521728515625,129.93809229228333,1.2784424129050682
25,0.25,0.35,0.25,0.4,0.25,0.35,0.25,0.4,0.25,0.35,0.25,0.4,0.25,0.3,0.25,0.4,1.5285408444972186,251.7271728515625,131.870350664402,1.2750363396655156
26,0.25,0.35,0.25,0.4,0.25,0.35,0.25,0.4,0.25,0.35,0.25,0.4,0.25,0.35,0.25,0.4,1.5213857868953822,256.6021728515625,134.03533477579026,1.2599016073568035
27,0.25,0.35,0.25,0.45,0.25,0.3,0.25,0.45,0.25,0.25,0.25,0.45,0.25,0.25,0.25,0.45,1.5698958293278993,256.2271728515625,124.28597404561815,1.2956819851048242
28,0.25,0.35,0.25,0.45,0.25,0.3,0.25,0.45,0.25,0.3,0.25,0.45,0.25,0.25,0.25,0.45,1.51650539419419,260.3521728515625,127.871353073505,1.290236506528438
29,0.25,0.35,0.25,0.45,0.25,0.3,0.25,0.45,0.25,0.3,0.25,0.45,0.25,0.3,0.25,0.45,1.503707442109083,264.4771728515625,131.86462683819713,1.2617946086571286
30,0.25,0.35,0.25,0.45,0.25,0.35,0.25,0.45,0.25,0.3,0.25,0.45,0.25,0.25,0.25,0.45,1.4642560807113645,265.2271728515625,126.95625138634848,1.3065463885791055
31,0.25,0.35,0.25,0.45,0.25,0.35,0.25,0.45,0.25,0.3,0.25,0.45,0.25,0.3,0.25,0.45,1.4506135970243692,269.3521728515625,131.26111454029416,1.2761013718549876
32,0.25,0.35,0.25,0.45,0.25,0.35,0.25,0.45,0.25,0.35,0.25,0.45,0.25,0.3,0.25,0.45,1.4210416773227619,274.2271728515625,133.71058961794876,1.270554084048738
33,0.25,0.35,0.25,0.45,0.25,0.35,0.25,0.45,0.25,0.35,0.25,0.45,0.25,0.35,0.25,0.45,1.4138104312712152,279.1021728515625,136.31122938342315,1.2522821091228042
34,0.25,0.35,0.25,0.5,0.25,0.3,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.5,1.5003902888405527,278.7271728515625,124.50383561546103,1.2964402200834853
35,0.25,0.35,0.25,0.5,0.25,0.3,0.25,0.5,0.25,0.3,0.25,0.5,0.25,0.25,0.25,0.5,1.4456878205683177,282.8521728515625,128.4259879255784,1.2903079047684278
36,0.25,0.35,0.25,0.5,0.25,0.3,0.25,0.5,0.25,0.3,0.25,0.5,0.25,0.3,0.25,0.5,1.432669473300115,286.9771728515625,132.80043818223902,1.2591554109146632
