IML,C,D,1_R_ISDR_SD,1_R_ISDR_NSD,1_R_ISDR_TOTAL,1_R_PFA,1_R_TOTAL,2_R_ISDR_SD,2_R_ISDR_NSD,2_R_ISDR_TOTAL,2_R_PFA,2_R_TOTAL,3_R_ISDR_SD,3_R_ISDR_NSD,3_R_ISDR_TOTAL,3_R_PFA,3_R_TOTAL,4_R_ISDR_SD,4_R_ISDR_NSD,4_R_ISDR_TOTAL,4_R_PFA,4_R_TOTAL,5_R_ISDR_SD,5_R_ISDR_NSD,5_R_ISDR_TOTAL,5_R_PFA,5_R_TOTAL,6_R_ISDR_SD,6_R_ISDR_NSD,6_R_ISDR_TOTAL,6_R_PFA,6_R_TOTAL,R_ISDR_SD_TOTAL,R_ISDR_NSD_TOTAL,R_ISDR_TOTAL_TOTAL,R_PFA_TOTAL,R_TOTAL_TOTAL,E_NC_ND_ISDR_S,E_NC_ND_ISDR_NS,E_NC_ND_ISDR_TOTAL,E_NC_ND_PFA_TOTAL,E_NC_ND_S,E_NC_ND_NS,E_NC_ND,E_NC_D,E_C,E_LT
0.05,7.871439993693603e-18,3.2027250775977705e-09,123.4447901132921,14812.242267742966,14935.687057856258,225.4655208832311,15161.15257873949,571.7102187872741,17896.1677923714,18467.878011158675,491.97926066331274,18959.857271821988,698.202408983691,20252.596273430536,20950.798682414228,556.461154456436,21507.259836870664,680.1602238604288,19907.050951804253,20587.21117566468,573.3793480420504,21160.59052370673,458.30030607067533,15615.788636040099,16074.088942110775,589.8110969165025,16663.900039027278,187.81941190202414,9043.673339268844,9231.492751170868,329.1244269885199,9560.617178159388,2719.6373597173856,97527.5192606581,100247.15662037548,2766.2208079500524,103013.37742832553,2719.637351007135,97527.51894830426,100247.15629931139,2766.2207990906077,2719.637351007135,100293.73974739487,103013.377098402,0.005666060076151103,1.392565731041112e-11,103013.38276446209
0.1,3.540546729677551e-11,4.248823555976733e-06,516.5804545601884,29114.106101943784,29630.686556503973,519.4390471247539,30150.125603628727,1516.6416018005357,32952.40535326793,34469.046955068465,651.5715837054129,35120.61853877388,1702.1047998335403,36894.77886818146,38596.883668015005,731.2764586366959,39328.1601266517,1658.7854038351597,36440.66584880759,38099.45125264275,605.9534925561776,38705.404745198925,1279.5641863170142,29658.51585417854,30938.08004049555,419.2747917312748,31357.354832226825,601.9863982528092,18342.545683034074,18944.53208128688,1058.0399097557142,20002.571991042594,7275.662844599247,183403.01770941343,190678.68055401265,3985.5552835100293,194664.23583752263,7275.631931333971,183402.2384558581,190677.87038719206,3985.5383494477474,7275.631931333971,187387.77680530585,194663.40873663983,7.516751808848588,6.2637129278109e-05,194670.9255510858
0.15000000000000002,4.459605017237289e-08,0.00012588082499146483,900.9824817494203,37793.32458989055,38694.307071639974,505.47352602732474,39199.7805976673,1983.5162817865835,43423.002529671125,45406.51881145771,637.5569370848709,46044.07574854258,1792.0411657779669,49001.19715679191,50793.23832256988,968.9784094452075,51762.216732015084,1806.684649651972,47971.43922700631,49778.12387665828,859.2693657000445,50637.393242358325,1810.1658255163609,37965.64156902913,39775.807394545496,542.4208837922398,40318.22827833774,897.4312551164478,23532.876565610113,24430.30782072656,2138.78240015258,26569.09022087914,9190.82165959875,239687.48163799912,248878.30329759791,5652.481522202268,254530.78481980017,9189.664301563142,239657.298892301,248846.96319386418,5651.7697311183865,9189.664301563142,245309.06862341939,254498.73292498253,222.70044032752966,0.0788965313330113,254721.5122618414
0.2,3.1463770200320667e-06,0.000971922526216201,1318.7901798218854,46103.92645666232,47422.716636484205,3433.783048843306,50856.49968532751,1349.0818537978198,54613.94619809214,55963.02805188996,3303.681859027398,59266.70991091736,814.2593715067663,62443.621410709646,63257.88078221641,5835.970022213304,69093.85080442972,938.5003415588608,61046.75992723012,61985.26026878898,5537.850884529422,67523.1111533184,1660.6146471454826,47967.457852483036,49628.07249962852,4552.175270523054,54180.247770151575,1316.6549003413486,29831.383213400426,31148.038113741775,8104.442302665817,39252.48041640759,7397.901294172164,302007.0950585777,309404.9963527499,30767.903387802304,340172.8997405521,7390.687853294044,301712.6182551776,309103.3061084716,30737.902656080394,7390.687853294044,332450.52091125795,339841.20876455196,1719.4588865641067,5.566372631363875,341566.23402374744
0.25,5.406030777108189e-05,0.0038731814159735562,1598.4008829069492,52603.010321965856,54201.411204872806,5270.902171856234,59472.31337672904,564.1741750489326,65892.17331646614,66456.34749151507,5234.467892998022,71690.81538451309,692.4128731308,74894.79362565873,75587.20649878953,9892.851778472279,85480.0582772618,657.5728255672993,72841.71055230913,73499.28337787643,9958.551198589088,83457.83457646552,1162.9857375492145,57580.46630665769,58743.452044206904,8095.086842801791,66838.53888700869,1638.6259594239377,35706.90157179313,37345.52753121707,13092.062992078854,50437.59052329593,6314.172453627134,359519.0556948507,365833.22814847785,51543.92287679627,417377.15102527407,6289.376494211725,358107.2127368784,364396.5892310902,51341.50822481288,6289.376494211725,409448.7209616913,415738.097455903,6851.818893883659,95.64010152127007,422685.55645130796
0.3,0.00041163943662346004,0.010530334526704035,1432.9324547581732,59713.35308317611,61146.28553793428,8834.230226872462,69980.51576480674,1491.1697422122077,75771.06999685192,77262.23973906413,8195.218905508556,85457.45864457269,4013.000140535175,85983.59264923805,89996.59278977323,14481.048174221156,104477.64096399439,3593.049332422027,82681.23168436652,86274.28101678855,14725.08010380724,100999.36112059579,1376.197932430448,68149.44618598747,69525.64411841791,13293.600871507606,82819.24498992552,1647.785961790939,42540.78912613028,44188.57508792122,21118.390711428212,65306.96579934943,13554.135564148968,414839.4827257504,428393.6182898994,80647.56899334522,509041.1872832445,13405.885318835242,410302.118111914,423708.00343074923,79765.47497631008,13405.885318835242,490067.5930882241,503473.4784070594,18621.937858896013,728.2466403176056,522823.66290627304
0.35000000000000003,0.0018689161214068882,0.022434940080310294,1160.8536239273199,66864.16066003164,68025.01428395897,13620.368143986345,81645.38242794531,3504.0189631114035,85108.5122104331,88612.5311735445,13315.126310825266,101927.65748436976,8975.590549172477,95692.8446270841,104668.43517625658,20185.564533143115,124853.9997093997,8129.586024654352,93478.06867712009,101607.65470177443,20799.773549315312,122407.42825108975,3182.948360886001,77123.05116484838,80305.99952573438,19047.921053184647,99353.92057891903,1632.257458762634,48602.81721516706,50235.074673929696,27878.662607271748,78113.73728120144,26585.254980514186,466869.45455468434,493454.7095351986,114847.41619772643,608302.125732925,25940.245460101436,455542.30184547027,481482.54730557173,112060.9965490665,25940.245460101436,567603.2983945368,593543.5438546382,39616.308884685386,3306.3690340606427,636466.2217733843
0.4,0.005973876987698521,0.0404824794297931,976.7123024880289,73927.94616811407,74904.6584706021,14217.623883869794,89122.28235447188,5253.165152567209,90977.60105118807,96230.76620375528,14855.177405020455,111085.94360877573,12854.395945065251,101890.98292550586,114745.3788705711,23336.669333898528,138082.04820446964,11993.939650701635,100135.39795989914,112129.33761060078,25610.26739788288,137739.60500848366,5437.0414336142985,84853.25510427859,90290.2965378929,23661.606686236977,113951.90322412987,1978.6963941670733,55869.54957945812,57848.2459736252,31981.423250001448,89829.66922362664,38493.9508786035,507654.73278844386,546148.6836670474,133662.76795691007,679811.4516239574,36714.971451828605,484193.7134614427,520908.6849132713,127485.60741885524,36714.971451828605,611679.3208802979,648394.2923321265,71191.21685123032,10568.608007161398,730154.1171905183
0.45,0.014875563939135758,0.06487231725098774,2747.7274605507073,84057.49293319593,86805.22039374664,20356.559867956927,107161.78026170356,9731.305515350236,97197.06333749862,106928.36885284886,20395.86027632191,127324.22912917077,18117.32805773149,106804.3738613098,124921.70191904128,29180.178943396342,154101.88086243763,17768.504025100516,105789.67326175637,123558.17728685688,31213.386966957885,154771.56425381475,10884.072614814842,93510.9379708709,104395.01058568574,29084.291335363294,133479.30192104905,4612.261665744982,68474.26582462354,73086.52749036852,38655.874089061705,111742.40157943022,63861.19933929277,555833.8071892551,619695.006528548,168886.15147905805,788581.1580076059,58830.030844780194,512043.625234515,570873.6560792952,155580.81595025735,58830.030844780194,667624.4411847724,726454.4720295526,113060.79053496919,26316.91353570361,865832.1761002253
0.5,0.03081258167136618,0.0952056372080421,6442.983428458508,93775.17545088318,100218.15887934169,23171.301463902448,123389.46034324414,15766.59980056831,102690.436163442,118457.03596401031,22422.512314863787,140879.5482788741,23781.984647666173,110882.63572649608,134664.62037416224,32113.367267285135,166777.98764144737,22331.392076907818,109552.57214016464,131883.96421707247,34365.31150382475,166249.27572089722,14329.719524988637,98035.53740212644,112365.25692711509,32442.031529643733,144807.28845675883,4626.443239286848,71744.62847464882,76371.07171393567,42781.34096798359,119152.41268191926,87279.1227178763,586680.9853577613,673960.1080756375,187295.86504750344,861255.973123141,76536.3991809578,514469.5396671587,591005.9388481164,164242.6120454402,76536.3991809578,678712.1517125989,755248.5508935567,163242.01477988187,54511.68446285209,973002.2501362907
