IML,C,D,1_R_ISDR_SD,1_R_ISDR_NSD,1_R_ISDR_TOTAL,1_R_PFA,1_R_TOTAL,2_R_ISDR_SD,2_R_ISDR_NSD,2_R_ISDR_TOTAL,2_R_PFA,2_R_TOTAL,3_R_ISDR_SD,3_R_ISDR_NSD,3_R_ISDR_TOTAL,3_R_PFA,3_R_TOTAL,4_R_ISDR_SD,4_R_ISDR_NSD,4_R_ISDR_TOTAL,4_R_PFA,4_R_TOTAL,5_R_ISDR_SD,5_R_ISDR_NSD,5_R_ISDR_TOTAL,5_R_PFA,5_R_TOTAL,6_R_ISDR_SD,6_R_ISDR_NSD,6_R_ISDR_TOTAL,6_R_PFA,6_R_TOTAL,R_ISDR_SD_TOTAL,R_ISDR_NSD_TOTAL,R_ISDR_TOTAL_TOTAL,R_PFA_TOTAL,R_TOTAL_TOTAL,E_NC_ND_ISDR_S,E_NC_ND_ISDR_NS,E_NC_ND_ISDR_TOTAL,E_NC_ND_PFA_TOTAL,E_NC_ND_S,E_NC_ND_NS,E_NC_ND,E_NC_D,E_C,E_LT
0.05,2.5527601142004775e-12,6.019171156532882e-12,213.82780038151557,19112.56441169621,19326.392212077724,253.27108294141107,19579.663295019134,788.7184416196444,21269.33637233012,22058.054813949762,519.0294776632472,22577.08429161301,947.0022029325983,23808.301001674085,24755.303204606684,555.9146435783862,25311.21784818507,941.9224915996921,23586.409189264912,24528.331680864605,568.2315863051942,25096.5632671698,682.4839199250969,19147.846438580214,19830.33035850531,583.5497208498903,20413.8800793552,286.8994888630882,11226.72100795536,11513.620496818448,344.99174584511485,11858.612242663563,3860.8543453216353,118151.17842150091,122012.03276682252,2824.988257183244,124837.02102400578,3860.85434528854,118151.17842048814,122012.03276577665,2824.9882571590288,3860.85434528854,120976.16667764717,124837.0210229357,1.262072842211812e-05,5.352513043802446e-06,124837.02104090895
0.1,1.028930337792068e-07,1.3532121802424687e-07,776.0787520024143,35505.97273268489,36282.051484687305,646.6710675911378,36928.72255227844,1784.9880323434622,37672.53157070664,39457.5196030501,725.853122590431,40183.37272564053,1848.870161795302,42031.554134445716,43880.42429624102,893.6511621412728,44774.07545838229,1791.8095528536317,42026.98663720283,43818.796190056455,674.12432604892,44492.920516105376,1618.3682971957433,34651.28883953983,36269.65713673558,349.69654477434574,36619.35368150992,843.3584540428259,21781.43990810722,22624.798362150046,1151.7014940331544,23776.4998561832,8663.473250233379,213669.77382268713,222333.2470729205,4441.697717179262,226774.94479009975,8663.471186470702,213669.7229235048,222333.1941099755,4441.696659103625,8663.471186470702,218111.41958260842,226774.89076907912,0.28373543836827037,0.21574150362032754,226775.39024602112
0.15000000000000002,1.3668906815582943e-05,1.4240763045065552e-05,1159.236613292105,43012.231982888436,44171.46859618054,902.4209158524136,45073.889512032954,1812.8196189884309,47252.3867840732,49065.20640306163,1151.4127699558835,50216.61917301751,1324.5427878770345,54515.14397277741,55839.68676065445,1808.9374117001173,57648.62417235457,1334.6392428310405,54479.80426511282,55814.44350794386,1383.4209766576741,57197.86448460154,1797.9863841490157,43909.18828223253,45707.17466638154,966.2763835167342,46673.45104989828,1201.8580811825996,27269.792431585014,28471.650512767614,3206.0489241599143,31677.699436927527,8631.082728320227,270438.5477186694,279069.6304469896,9418.517381842737,288488.1478288324,8630.84183933083,270430.9999207274,279061.84176005825,9418.254515965402,8630.84183933083,279849.2544366928,288480.09627602366,29.858985821435336,28.660351443888977,288538.61561328894
0.2,0.000245649723847091,0.0002275393044662248,1528.4100547507128,51913.40816851981,53441.81822327052,5098.811318690227,58540.62954196075,1019.8696767123463,59167.84930097639,60187.71897768874,5514.674799566512,65702.39377725525,806.9038462302269,67768.66066016557,68575.56450639579,8377.8002095366,76953.36471593239,926.9107274626544,68063.77944030156,68990.69016776422,7098.044094912431,76088.73426267665,1299.0206960026685,55738.25781684474,57037.27851284741,5330.32281427622,62367.60132712363,1582.4696170653715,34416.49075153156,35998.96036859693,9834.335179352922,45833.29554794985,7163.58461822398,337068.44613833964,344232.03075656365,41253.98841633491,385486.01917289855,7160.195288987571,336908.96788826614,344069.16317725374,41234.46978753247,7160.195288987571,378143.4376757986,385303.6329647862,476.9770217805864,515.0673358549521,386295.6773224217
0.25,0.0016655007934255905,0.0014463348395710005,1687.4616109867757,58054.42984069123,59741.891451678006,5649.8731434875845,65391.76459516559,360.6800506699815,68415.48747958407,68776.16753025405,5639.297731123887,74415.46526137795,851.0295373651752,78348.83049160943,79199.86002897461,9955.113902648774,89154.97393162339,1230.3089847356823,78369.4174844418,79599.72646917749,9691.273489866075,89290.99995904356,921.3312425099225,64407.522733234706,65328.85397574463,7915.100649597711,73243.95462534233,1815.5177349363296,39928.36280794714,41743.88054288347,13548.522908325687,55292.40345120915,6866.3291612038665,387524.05083750834,394390.3799987122,52399.181825049716,446789.56182376196,6844.978813558991,386319.0731832357,393164.0519967947,52236.250406819294,6844.978813558991,438555.323590055,445400.302403614,3027.5592812909363,3492.147449219233,451920.00913412415
0.3,0.006459364709742896,0.005411681180965314,1334.1844569954105,64310.03038275129,65644.2148397467,9806.285006084356,75450.49984583104,1369.4676248686492,77033.08286058831,78402.55048545696,8325.46072349322,86728.01120895018,4377.763606327922,88008.6115607572,92386.37516708512,12895.372377266269,105281.74754435138,4886.643249692213,87795.50412346036,92682.14737315258,13185.507377767184,105867.65475091976,1998.9617335436158,72139.22768018124,74138.18941372486,11722.05710923865,85860.24652296351,1744.6763663417846,44110.484307354025,45855.16067369581,18405.91396243139,64261.0746361272,15711.697037769596,433396.9409150924,449108.637952862,74340.59655628107,523449.23450914305,15525.731979647562,428267.21577378915,443792.94775343675,73460.69457458031,15525.731979647562,501727.91034836945,517253.642328017,11273.676435107296,13543.706543849908,542071.0253069742
0.35000000000000003,0.017600998934513938,0.01446973696903619,1248.7469213889515,72042.6626470152,73291.40956840415,17379.220132250597,90670.62970065475,5473.170353572208,85515.2728391705,90988.4431927427,15796.350122948199,106784.79331569091,10910.052595143457,96242.97947625602,107153.03207139947,20447.477762340364,127600.50983373984,10963.117471250338,96090.29044685981,107053.40791811016,20857.757234189812,127911.16515229997,5812.901263875363,81875.17544497487,87688.07670885023,19350.23364131245,107038.31035016268,1848.9610867069423,51534.01783905996,53382.9789257669,27697.742903490183,81080.72182925709,36256.94969193726,483300.3986933364,519557.3483852736,121528.78179653162,641086.1301818052,35103.3966198144,467923.6870723121,503027.0836921265,117662.21550278978,35103.3966198144,585585.9025751019,620689.2991949164,29805.490791597676,36904.98604113656,687399.7760276506
0.4,0.0377941564321853,0.03081393101604194,2160.976027444962,81970.83906594945,84131.81509339441,18446.57706951852,102578.39216291293,9068.722777534727,93066.90648479563,102135.62926233036,16775.860398457728,118911.4896607881,16343.566680730708,103435.06555675252,119778.63223748324,23340.89158228319,143119.52381976641,15546.166182477182,103535.43587013516,119081.60205261235,24541.426383880935,143623.02843649327,8472.248182577943,91136.64852207295,99608.89670465089,23162.34098435077,122771.23768900166,2207.4843377061147,61011.65978096165,63219.14411866776,33393.93572780565,96613.07984647341,53799.16418847163,534156.5552806674,587955.7194691391,139661.03214629678,727616.7516154358,50170.760209078755,498131.1671536437,548301.9273627226,130241.8031963733,50170.760209078755,628372.970350017,678543.7305590957,62167.4172295641,79245.09402879798,819956.2418174577
0.45,0.06856712384910504,0.055826333176162146,5038.865397057778,91655.29327187018,96694.15866892795,23008.82212156555,119702.9807904935,13581.591236597847,98669.08436942096,112250.6756060188,20162.562108139893,132413.2377141587,21833.68190198879,108401.58594003157,130235.26784202036,29075.80760431807,159311.07544633842,20857.615220362597,108226.5421765113,129084.1573968739,30783.987238821344,159868.14463569524,13323.324770676692,97360.39530880733,110683.72007948402,28831.93275506614,139515.65283455016,3035.8744641305416,68165.98182574353,71201.85628987406,38827.54221990254,110029.3985097766,77670.95299081424,572478.8828923849,650149.8358831991,170690.65404781353,820840.4899310126,68306.50748075612,503457.6194975776,571764.1269783337,150111.2319169177,68306.50748075612,653568.8514144953,721875.3588952514,109028.08768334705,143768.47347965502,974671.9200582535
0.5,0.10994158644320245,0.08979957251048837,13292.731517434273,105779.28916083675,119072.02067827102,25869.09677513686,144941.11745340787,22527.945669759996,106693.04641812776,129220.99208788776,23075.34339991806,152296.33548780583,29220.06907512671,113667.83007520149,142887.8991503282,32057.75129337724,174945.65044370544,26547.782169795544,112821.32277399223,139369.10494378777,33344.51624928644,172713.6211930742,17137.385654700574,102538.83376986967,119676.21942457024,31523.33938786514,151199.55881243537,2549.1874306651216,71509.91835986407,74059.10579052918,42916.61754790852,116975.7233384377,111275.10151748221,613010.2405578919,724285.3420753741,188786.66465349222,913072.0067288665,90147.47030296907,496618.93543567316,586766.4057386423,152942.03297377808,90147.47030296907,649560.9684094512,739708.4387124203,167587.06990650043,230520.59307103427,1137816.101689955
