,hi1,bx1,hx1,by1,hy1,hi2,bx2,hx2,by2,hy2,hi3,bx3,hx3,by3,hy3,hi4,bx4,hx4,by4,hy4
0,0.39999999999999997,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45
1,0.39999999999999997,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45
2,0.44999999999999996,0.35,0.45,0.35,0.45,0.44999999999999996,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45
3,0.44999999999999996,0.35,0.45,0.35,0.45,0.44999999999999996,0.35,0.45,0.35,0.45,0.44999999999999996,0.35,0.45,0.35,0.45,0.44999999999999996,0.35,0.45,0.35,0.45
4,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45
5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5
6,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.45,0.35,0.35,0.45,0.35,0.45
7,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45
8,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5
9,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5
10,0.44999999999999996,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.45,0.39999999999999997,0.35,0.45,0.35,0.45
11,0.44999999999999996,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.45,0.44999999999999996,0.35,0.45,0.35,0.45
12,0.44999999999999996,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5
13,0.44999999999999996,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5
14,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5
15,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55
16,0.39999999999999997,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.5,0.35,0.35,0.45,0.35,0.5
17,0.39999999999999997,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5
18,0.39999999999999997,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55
19,0.39999999999999997,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55
20,0.44999999999999996,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.5,0.39999999999999997,0.35,0.45,0.35,0.5
21,0.44999999999999996,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.5,0.44999999999999996,0.35,0.45,0.35,0.5
22,0.44999999999999996,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55
23,0.44999999999999996,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55,0.44999999999999996,0.35,0.45,0.35,0.55
24,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55
25,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6
26,0.39999999999999997,0.35,0.45,0.35,0.6,0.39999999999999997,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.55,0.35,0.35,0.45,0.35,0.55
27,0.39999999999999997,0.35,0.45,0.35,0.6,0.39999999999999997,0.35,0.45,0.35,0.6,0.39999999999999997,0.35,0.45,0.35,0.55,0.39999999999999997,0.35,0.45,0.35,0.55
28,0.39999999999999997,0.35,0.45,0.35,0.6,0.39999999999999997,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6,0.35,0.35,0.45,0.35,0.6
