Element,Storey,Direction,b,h,coverNeg,coverPos,lp,phi1Neg,phi2Neg,phi3Neg,m1Neg,m2Neg,m3Neg,phi1,phi2,phi3,m1,m2,m3
Beam,1,0,0.35,0.5,0.03,0.03,0.3651999999999999,0.006699230056660006,0.08669126531498221,0.09306498314745604,79.6706166254535,80.48632823453256,2.2542971659487385,0.006107917563209829,0.08492910225304755,0.0901100676636118,79.6706163949899,80.44877863884781,1.2286498301761632
Beam,1,1,0.35,0.6000000000000001,0.03,0.03,0.3651999999999999,0.0049375544957053225,0.06972833987656854,0.07518294043625205,117.29236660782179,118.17231780652232,2.414165777408161,0.00512336062814957,0.0717140249853195,0.07579884255854308,173.68516878354947,174.98407838477752,1.9732309120238296
Beam,2,0,0.35,0.5,0.03,0.03,0.3651999999999999,0.0066992300566600035,0.08669126531498221,0.09306498314745604,79.67061662545352,80.48632823453258,2.2542971659487416,0.0061483403321892244,0.0866946324880956,0.09211999965551072,79.67061642828776,80.45494942345519,1.359376180580938
Beam,2,1,0.35,0.6000000000000001,0.03,0.03,0.3651999999999999,0.0047681121167762654,0.0711313792950916,0.07656513670488749,117.2902993664423,118.18955374026811,2.307951146130744,0.005010832127739236,0.0706636189101017,0.07485237585864614,147.13264311214903,148.31857234992947,1.6930769451623462
Beam,3,0,0.35,0.45,0.03,0.03,0.3651999999999999,0.00742453620488377,0.09671336927769432,0.10380134864913752,63.64647396039207,64.39568850823467,2.32340198426472,0.006874310228959345,0.09537026230542996,0.10137448610348107,63.64048789671811,64.32741168214143,1.4161889939057133
Beam,3,1,0.35,0.6000000000000001,0.03,0.03,0.3651999999999999,0.0045847796923410185,0.07062012693996912,0.07580078916147663,117.28666259902,118.19734757484323,2.0927299787301195,0.004997505397346964,0.06991626330243303,0.073952287444846,117.24714805597631,118.24082067343672,0.9724213963412414
Beam,4,0,0.35,0.45,0.03,0.03,0.3651999999999999,0.00742453620488377,0.09671336927769432,0.10380134864913752,63.64647396039207,64.39568850823467,2.32340198426472,0.006760113916088164,0.09687388279346502,0.10263499684118256,63.637415587957996,64.30276806859425,1.1206876774257637
Beam,4,1,0.35,0.6000000000000001,0.03,0.03,0.3651999999999999,0.0045847796923410185,0.07062012693996912,0.07580078916147663,117.28666259902,118.19734757484323,2.0927299787301195,0.004832503808294518,0.07042554464018237,0.07365023111868693,117.19914463997485,118.26209262730127,0.2609385149989274
Column,1,0,0.45,0.45,0.03,0.03,0.3651999999999999,0.009014064637373104,0.12049009992106335,0.121695000920274,253.19980992633256,263.8235984118689,155.6844099788029,0.009014064637373104,0.12049009992106335,0.121695000920274,253.19980992633256,263.8235984118689,155.6844099788029
Column,2,0,0.45,0.45,0.03,0.03,0.3651999999999999,0.008865603506751847,0.1125315395357418,0.1136568549310992,232.52699814437568,238.40769240280198,128.50460314831494,0.008865603506751847,0.1125315395357418,0.1136568549310992,232.52699814437568,238.40769240280198,128.50460314831494
Column,3,0,0.4,0.4,0.03,0.03,0.3651999999999999,0.010201320113457785,0.1236429659915353,0.125713045395609,152.4158341851867,155.067671066971,78.12586425274203,0.010201320113457785,0.1236429659915353,0.125713045395609,152.4158341851867,155.067671066971,78.12586425274203
Column,4,0,0.4,0.4,0.03,0.03,0.3651999999999999,0.009736009185100569,0.11586608275302847,0.12291377667553265,128.13796948018543,130.0731647892859,51.24868654775315,0.009736009185100569,0.11586608275302847,0.12291377667553265,128.13796948018543,130.0731647892859,51.24868654775315
