,he1,hi1,b1,h1,he2,hi2,b2,h2,he3,hi3,b3,h3,he4,hi4,b4,h4,T,Weight,Mstar,Part Factor
0,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.9560189314761185,2999.3125,531.5297398237285,1.2698904323511477
1,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.9445359536906411,3033.0625,541.1581630275654,1.2581691702763762
2,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.8986196995446833,3074.5,526.668357440909,1.2728927103535241
3,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.8890301655976316,3112.75,534.5074201154941,1.263842806824596
4,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.9703716328528694,3025.75,543.7046873603127,1.260868231768626
5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.9641275837613048,3088.75,551.1923514987391,1.2497271858943932
6,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.9179116567409,3062.3125,528.5083579308832,1.2781878973014325
7,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.9061089917082763,3096.0625,538.9926563628275,1.2654118125968834
8,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.911125288016565,3125.3125,536.4635238131082,1.266534226882346
9,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.8993891482050083,3159.0625,547.3359076687975,1.2530373711530565
10,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.8591683535710801,3137.5,523.1852607609817,1.2820706707058351
11,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.8493418441780244,3175.75,531.8970298521549,1.2719349775075683
12,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.8518571618832844,3200.5,531.9714305759062,1.2692569337139632
13,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.8420181745893394,3238.75,541.1006750319204,1.2583503232702582
14,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.9330023855177105,3151.75,549.7454472265482,1.2552521676718122
15,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.9279575136067215,3214.75,556.3024692552473,1.2454639983943228
16,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.8788558896366965,3188.3125,533.8923322368657,1.273880001859964
17,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.866790786664014,3222.0625,545.6010447595976,1.2593420797625805
18,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.8733360098785578,3251.3125,540.9209463851585,1.2635452852271467
19,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.861348242974678,3285.0625,552.9983809227613,1.2483280673729056
20,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.8180533065865467,3263.5,528.9336943884575,1.277564542970941
21,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.8079224822616912,3301.75,538.9373098018016,1.265575226470159
22,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.8120899755025196,3326.5,536.795826521726,1.2660510323319796
23,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.8019587276051917,3364.75,547.2359653409106,1.2532683815994656
24,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.9013131496070442,3277.75,555.1476216322557,1.250255204142416
25,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.8971497110959187,3340.75,560.9563392380728,1.2415612341786644
26,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.8456078712354259,3314.3125,538.7172476289968,1.2700889781714828
27,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.8332927001896383,3348.0625,551.6150213100551,1.2538383278648364
28,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.8410230626610616,3377.3125,544.9982878179732,1.260824140352375
29,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.828790625933862,3411.0625,558.2461459737053,1.2439337211711654
30,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.7827017745074012,3389.5,534.1290771987327,1.2736126964982533
31,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.55,0.35,0.35,0.35,0.55,0.7722420100976111,3427.75,545.4546977427234,1.2597342766392345
32,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.7777344423063334,3452.5,541.2434224760246,1.2631572808370617
33,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.7672771254849134,3490.75,553.0278513240008,1.2484587024258453
34,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.8740303958593164,3403.75,560.0303317737015,1.2457504408534998
35,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.8705333013090221,3466.75,565.2269083751515,1.2379560360399486
36,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.8168939510694192,3440.3125,543.0965356651196,1.2666884007188879
37,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.8043408832419935,3474.0625,557.1515813727253,1.2487680429272279
38,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.8130190900611066,3503.3125,548.7640904430762,1.258305551461761
39,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.8005506266808008,3537.0625,563.1521374792745,1.2397817070113204
40,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.7518505482965204,3515.5,538.8861904442062,1.270079987631234
41,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6,0.35,0.35,0.35,0.6,0.7410374945584193,3553.75,551.57619756351,1.2542585053595985
42,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.7476396577899886,3578.5,545.3863685581196,1.2604975649589618
43,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.73682524265629,3616.75,558.5633365039141,1.2438202980209632
44,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.984911016578943,3021.8125,541.0904080068078,1.2635476682973494
45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.9783016941473425,3080.875,548.7603530296215,1.252154101654898
46,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.9308550284040917,3058.375,525.7497683520714,1.281082755114309
47,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.9183964535215561,3092.125,536.5283214941619,1.2679705816885452
48,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.9236726066579373,3117.4375,533.901882108189,1.2691714930753772
49,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.911288685280667,3151.1875,545.0873363995481,1.2552979997429106
50,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.8717040203018754,3133.5625,520.9314487299571,1.2842719405814023
51,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.8618782966470466,3171.8125,529.3527119463255,1.2745618796139098
52,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.8639872074947303,3192.625,529.923500971382,1.271185244984226
53,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.8541388877355566,3230.875,538.7653152461053,1.2606960353912597
54,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.9703716328528754,3084.8125,543.7046873603122,1.2608682317686273
55,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.9641275837613028,3147.8125,551.1923514987399,1.2497271858943921
56,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.970371632852874,3143.875,543.7046873603122,1.2608682317686268
57,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.964127583761307,3206.875,551.1923514987393,1.2497271858943924
58,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.9175725087077463,3121.375,528.4299066857591,1.2783079684836307
59,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.5,0.35,0.35,0.35,0.45,0.35,0.35,0.35,0.45,0.9056690297187173,3155.125,538.9598286396624,1.2655066441978078
