IML,C,D,1_R_ISDR_SD,1_R_ISDR_NSD,1_R_ISDR_TOTAL,1_R_PFA,1_R_TOTAL,2_R_ISDR_SD,2_R_ISDR_NSD,2_R_ISDR_TOTAL,2_R_PFA,2_R_TOTAL,3_R_ISDR_SD,3_R_ISDR_NSD,3_R_ISDR_TOTAL,3_R_PFA,3_R_TOTAL,4_R_ISDR_SD,4_R_ISDR_NSD,4_R_ISDR_TOTAL,4_R_PFA,4_R_TOTAL,R_ISDR_SD_TOTAL,R_ISDR_NSD_TOTAL,R_ISDR_TOTAL_TOTAL,R_PFA_TOTAL,R_TOTAL_TOTAL,E_NC_ND_ISDR_S,E_NC_ND_ISDR_NS,E_NC_ND_ISDR_TOTAL,E_NC_ND_PFA_TOTAL,E_NC_ND_S,E_NC_ND_NS,E_NC_ND,E_NC_D,E_C,E_LT
0.05,9.32575270333283e-15,2.876471086921716e-17,312.1429311646449,22295.981745207628,22608.124676372274,250.4421490069707,22858.566825379243,1036.0140481073438,24877.270994531806,25913.28504263915,524.7513141208565,26438.036356760007,869.7059677628374,22714.624697944782,23584.33066570762,571.8503180009677,24156.18098370859,396.8778928503111,14348.149640592648,14745.027533442959,314.9363938815535,15059.963927324512,2614.740839885137,84236.02707827686,86850.767918162,1661.9801750103484,88512.74809317235,2614.7408398851126,84236.02707827608,86850.76791816119,1661.980175010333,2614.7408398851126,85898.00725328641,88512.74809317153,4.020837139435136e-11,1.3035880316418112e-08,88512.74809318461
0.1,3.364802247093393e-09,2.088706390430434e-10,1049.3365608976228,40693.83516371399,41743.17172461162,510.5639309322495,42253.73565554387,1764.5874895884392,43735.341915509154,45499.929405097595,620.1792494755873,46120.10865457318,1751.395025684687,39416.79456064003,41168.18958632472,520.6647409072644,41688.85432723198,1039.777618663443,26306.069572670945,27345.84719133439,789.227668469235,28135.074859803623,5605.096694834191,150152.04121253412,155757.13790736833,2440.6355897843364,158197.77349715264,5605.09667480341,150152.04067593985,155757.1373507433,2440.6355810623036,5605.09667480341,152592.67625700214,158197.77293180555,0.0002919670647114714,0.0047034444057098375,158197.77792721702
0.15000000000000002,1.248954348066711e-06,2.787089751117076e-07,1558.2033039413568,52496.30516618724,54054.508470128596,883.0252461831817,54937.53371631178,1066.7181843714786,57995.46812339676,59062.186307768236,860.6690960213973,59922.85540378963,1628.25049766959,51919.41591659374,53547.66641426333,1106.1561028890446,54653.82251715237,1538.382662234685,34314.17990901264,35852.56257124732,2196.4839276305293,38049.04649887785,5791.55464821711,196725.36911519038,202516.92376340748,5046.334372724153,207563.25813613163,5791.545800673506,196725.0685851277,202516.61438580122,5046.326663625972,5791.545800673506,201771.3952487537,207562.9410494272,0.38958917532172677,1.7458343492476576,207565.07647295177
0.2,4.151618438224204e-05,1.8591672578493996e-05,1387.402586537681,63188.517204650314,64575.919791188,3575.224658756152,68151.14444994414,650.8526292688864,70459.61537175575,71110.46800102464,3488.3150867412633,74598.7830877659,789.9242839806088,64105.52480119737,64895.44908517798,4501.729437497515,69397.17852267549,1771.5593975220336,42909.15974990817,44680.7191474302,6887.183452475027,51567.902599905225,4599.738897309209,240662.8171275116,245262.5560248208,18452.452635469956,263715.00866029074,4599.462420411846,240648.35158708083,245247.81400749265,18451.343512328993,4599.462420411846,259099.69509940982,263699.15751982166,25.987045176017755,58.03285032508319,263783.1774153228
0.25,0.000424927938883083,0.0002899046619809529,847.2711688276872,73564.74330104142,74412.01446986911,4878.951383003031,79290.96585287215,1051.7040653931795,80598.35789629142,81650.0619616846,4557.867107620264,86207.92906930485,363.71363142198743,74137.47067900254,74501.18431042452,6944.95656911601,81446.14087954053,1753.9054175159235,49838.42070334035,51592.326120856276,9984.313265913368,61576.639386769646,4016.5942831587777,278138.99257967575,282155.5868628345,26366.088325652672,308521.67518848716,4013.72358541932,277940.20402375876,281953.92760917806,26347.24423416149,4013.72358541932,304287.4482579203,308301.1718433396,405.06720746341244,593.9799103189243,309300.2189611219
0.3,0.0022119528284033126,0.001972768404488239,1617.9040476961059,86846.98010958417,88464.88415728028,5878.0321464031895,94342.91630368347,5453.90788295904,91755.15615265278,97209.06403561182,6074.706851723578,103283.7708873354,2561.135116097497,85227.41743080836,87788.55254690586,9687.802482156021,97476.35502906189,1236.6232295704867,58467.334289144725,59703.95751871521,15346.955638693868,75050.91315740907,10869.57027632313,322296.88798219,333166.4582585131,36987.49711897665,370153.9553774898,10824.131586020208,320949.57174922735,331773.7033352476,36832.87615568702,10824.131586020208,357782.4479049144,368606.5794909346,2751.5085742503707,3091.949063406236,374450.0371285912
0.35000000000000003,0.00750515984315554,0.007968399116132814,7989.212575744111,100008.57599024344,107997.78856598755,12537.201520548091,120534.99008653563,13403.697492555619,101045.66676155364,114449.36425410926,11806.868553125496,126256.23280723474,8201.578998013483,95034.55636189571,103236.1353599092,16112.703964685257,119348.83932459445,1270.0256359553637,68032.51841070426,69302.54404665962,23256.429620218114,92558.97366687773,30864.514702268578,364121.31752439705,394985.83222666563,63713.20365857696,458699.0358852425,30388.77663907656,358508.84080033406,388897.6174394106,62731.14395666102,30388.77663907656,421239.9847569951,451628.76139607164,11054.925137181752,10490.988618645042,473174.67515189847
0.4,0.019066933916515302,0.022675326769696084,11853.68379947156,109996.65106878825,121850.33486825982,12257.79682888123,134108.13169714104,18790.24385426847,107407.66343489922,126197.90728916769,11153.13197904944,137351.03926821714,12324.732502181545,101629.24511808151,113953.97762026306,17325.541319077267,131279.5189393403,1756.0176766040627,75355.5867893778,77111.60446598187,27190.673533759622,104302.27799974149,44724.67783252564,394389.1464111468,439113.8242436725,67927.14366076756,507040.96790443995,42877.10533914897,378096.9655859643,420974.07092511334,65121.07935212741,42877.10533914897,443218.0449380917,486095.15027724067,31092.05292809575,26652.461891673218,543839.6650970096
0.45,0.03945873032218691,0.05043522052008639,18690.40093421568,119020.17249812106,137710.57343233674,17197.52212558816,154908.09555792488,25336.876546321007,112564.50905986234,137901.38560618335,15817.99571185539,153719.38131803874,16769.517758587084,106691.99919686442,123461.5169554515,23157.53781548623,146619.05477093774,3787.700355674815,81552.38731206248,85340.08766773729,34311.82354562284,119651.91121336013,64584.49559479859,419829.0680669103,484413.5636617089,90484.87919855262,574898.4428602615,58907.27035799319,382924.4803880385,441831.7507460317,82530.91075760868,58907.27035799319,465455.39114564715,524362.6615036404,67718.35859319712,55156.86532562873,647237.8854224662
0.5,0.07024579360724255,0.09375916187141636,28036.36212861515,127239.89228050338,155276.25440911853,21081.521653192925,176357.77606231146,32206.970693532625,117153.44574745021,149360.41644098284,20139.288852716145,169499.705293699,21341.42039119669,111083.21131029798,132424.63170149468,27756.82458960558,160181.45629110027,5489.528344883431,86626.26635108177,92115.79469596519,38981.114484470934,131096.9091804361,87074.2815582279,442102.81568933337,529177.0972475612,107958.74957998558,637135.8468275468,73367.15536597172,372507.5347847981,445874.6901507698,90964.01614584892,73367.15536597172,463471.550930647,536838.7062966187,121853.59261311422,98192.15534940838,756884.4542591412
