IML,C,D,1_R_ISDR_SD,1_R_ISDR_NSD,1_R_ISDR_TOTAL,1_R_PFA,1_R_TOTAL,2_R_ISDR_SD,2_R_ISDR_NSD,2_R_ISDR_TOTAL,2_R_PFA,2_R_TOTAL,R_ISDR_SD_TOTAL,R_ISDR_NSD_TOTAL,R_ISDR_TOTAL_TOTAL,R_PFA_TOTAL,R_TOTAL_TOTAL,E_NC_ND_ISDR_S,E_NC_ND_ISDR_NS,E_NC_ND_ISDR_TOTAL,E_NC_ND_PFA_TOTAL,E_NC_ND_S,E_NC_ND_NS,E_NC_ND,E_NC_D,E_C,E_LT
0.05,7.7531566461753e-24,0.002714744901341329,3.7179416761429502,2318.6611515008067,2322.3790931769495,183.71159546472984,2506.090688641679,14.33317145459804,1898.442409182071,1912.775580636669,183.8505337650831,2096.626114401752,18.05111313074099,4217.103560682877,4235.1546738136185,367.56212922981297,4602.716803043431,18.002108963405774,4205.655200293085,4223.65730925649,366.56429181356015,18.002108963405774,4572.219492106645,4590.22160107005,1897.3851628536397,5.418823838094207e-18,6487.60676392369
0.1,1.7174733919323125e-16,0.00803882084203472,22.17678200081278,6153.445363787503,6175.622145788316,311.7833849939589,6487.405530782275,74.10776442486082,5113.390599402468,5187.498363827329,371.90278734496303,5559.401151172292,96.2845464256736,11266.835963189971,11363.120509615645,683.686172338922,12046.806681954567,95.51053220710101,11176.263887425292,11271.774419632393,678.1901416873129,95.51053220710101,11854.454029112605,11949.964561319706,5618.479800801559,1.2003737551319047e-10,17568.444362121383
0.15000000000000002,7.213288798924303e-13,0.014304955729899324,57.77553501578254,10048.324309777203,10106.099844792985,287.87286470081597,10393.9727094938,166.80233059065534,8338.78332143251,8505.585652023165,865.2416606857398,9370.827312708905,224.57786560643788,18387.107631209714,18611.68549681615,1153.1145253865557,19764.800022202704,221.36528918086282,18124.080870531292,18345.44615971215,1136.6192731485773,221.36528918086282,19260.70014367987,19482.065432860734,9997.996770804857,5.041500266082095e-07,29480.062204169742
0.2,1.3448368047644933e-10,0.02098013515470306,112.13243950501754,13960.986741518891,14073.119181023909,189.84648048339741,14262.965661507305,288.2622910026292,11590.978479532867,11879.240770535496,2157.4518264663866,14036.692597001882,400.3947305076467,25551.96522105176,25952.359951559403,2347.298306949784,28299.65825850919,391.9943948936486,25015.881533881595,25407.87592877524,2298.0516709125213,391.9943948936486,27313.933204794117,27705.927599687766,14663.402492136827,9.39931187847112e-05,42369.330185817715
0.25,5.235452036604144e-09,0.027825454808581705,182.48461697603528,17643.09698144981,17825.581598425844,128.10789078251003,17953.689489208355,428.68774847479756,14660.79556148206,15089.483309956859,4122.537052616013,19212.02036257287,611.1723654508328,32303.89254293187,32915.0649083827,4250.6449433985235,37165.70985178123,594.1662133049979,31405.021876417755,31999.188089722753,4132.368792983843,594.1662133049979,35537.3906694016,36131.556882706594,19447.722252268613,0.0036591537607001097,55579.282794128965
0.3,8.090212735052209e-08,0.034716958432398685,278.59082440499975,21536.912679658144,21815.503504063145,222.84378024670224,22038.347284309846,598.328977013206,17951.690818368716,18550.019795381922,7387.129116518038,25937.14891189996,876.9198014182057,39488.60349802686,40365.52329944506,7609.972896764741,47975.4961962098,846.4757446421286,38117.676208031044,38964.15195267317,7345.777189747029,846.4757446421286,45463.453397778074,46309.9291424202,24264.31907740341,0.05654398540442314,70574.30476380902
0.35000000000000003,6.857456646118079e-07,0.041585045938900014,390.0881427867994,25213.562735531712,25603.650878318513,595.1219143959247,26198.772792714437,774.8333447200644,20917.704034061222,21692.537378781286,11432.428024201492,33124.96540298278,1164.9214875068637,46131.266769592934,47296.1882570998,12027.549938597416,59323.73819569722,1116.4774083136117,44212.86560295806,45329.343011271674,11527.375817015018,1116.4774083136117,55740.24141997308,56856.71882828669,29064.533840650754,0.4792802627174214,85921.73194920017
0.4,3.831553768439643e-06,0.048388897864154054,488.251939814088,28226.7971873514,28715.049127165486,523.1437671051625,29238.192894270647,918.2036702834951,23344.53721505162,24262.740885335115,13243.00145845857,37505.74234379368,1406.455610097583,51571.33440240302,52977.7900125006,13766.145225563732,66743.93523806432,1338.3936450832414,49075.666332512264,50414.0599775955,13099.966436842731,1338.3936450832414,62175.632769355,63514.02641443824,33819.76149024688,2.677943429351806,97336.46584811447
0.45,1.5807946530069594e-05,0.05510412134916413,640.884350133223,31884.548235909708,32525.43258604293,1506.5214384654532,34031.954024508384,1124.7152612856426,26367.479528076947,27492.19478936259,18681.31585434557,46173.510643708156,1765.5996114188656,58252.027763986654,60017.62737540552,20187.837292811022,80205.46466821653,1668.2814236567656,55041.23085465622,56709.51227831299,19075.102713880253,1668.2814236567656,74116.33356853647,75784.61499219324,38512.6755108243,11.048464696081792,114308.33896771363
0.5,5.188134401979276e-05,0.06171620688322778,778.7656905393926,34898.151787808616,35676.91747834801,2625.655719004978,38302.57319735299,1298.8524683862233,28949.6573251974,30248.509793583624,23318.262937260308,53566.772730843935,2077.6181589256157,63847.80911300602,65925.42727193164,25943.918656265287,91869.34592819693,1949.2943095492053,59904.256442159094,61853.5507517083,24341.495470090376,1949.2943095492053,84245.75191224947,86195.04622179868,43132.354688258325,36.260825952163124,129363.66173600918
