IML,C,D,1_R_ISDR_SD,1_R_ISDR_NSD,1_R_ISDR_TOTAL,1_R_PFA,1_R_TOTAL,2_R_ISDR_SD,2_R_ISDR_NSD,2_R_ISDR_TOTAL,2_R_PFA,2_R_TOTAL,3_R_ISDR_SD,3_R_ISDR_NSD,3_R_ISDR_TOTAL,3_R_PFA,3_R_TOTAL,4_R_ISDR_SD,4_R_ISDR_NSD,4_R_ISDR_TOTAL,4_R_PFA,4_R_TOTAL,R_ISDR_SD_TOTAL,R_ISDR_NSD_TOTAL,R_ISDR_TOTAL_TOTAL,R_PFA_TOTAL,R_TOTAL_TOTAL,E_NC_ND_ISDR_S,E_NC_ND_ISDR_NS,E_NC_ND_ISDR_TOTAL,E_NC_ND_PFA_TOTAL,E_NC_ND_S,E_NC_ND_NS,E_NC_ND,E_NC_D,E_C,E_LT
0.05,1.9295887579705614e-28,1.7214718035288967e-41,16.562303521272216,5306.074307126209,5322.636610647481,127.41571942491004,5450.052330072391,119.48937134617367,6911.395369475978,7030.884740822152,356.667487858819,7387.552228680971,116.7556553751335,6868.4448025661,6985.200457941234,536.6050705312762,7521.805528472511,64.19528791850809,4815.044897553402,4879.24018547191,307.52061966310123,5186.760805135012,317.00261816108747,23900.95937672169,24217.96199488278,1328.2088974781063,25546.170892360882,317.00261816108747,23900.95937672169,24217.96199488278,1328.2088974781063,317.00261816108747,25229.168274199797,25546.170892360886,2.0303465375827083e-35,2.275804834951678e-22,25546.170892360886
0.1,3.4047287326279505e-19,9.719428932831399e-28,80.47002462731456,12013.542718409564,12094.01274303688,243.96110922870483,12337.973852265584,435.782621098724,15219.654658494237,15655.437279592961,589.3439736016301,16244.781253194591,428.77521891824597,15161.29776176414,15590.072980682387,583.3288620852829,16173.401842767671,243.27527935485173,10866.282373975419,11109.55765333027,390.3921127152423,11499.949766045513,1188.3031439991362,53260.77751264336,54449.0806566425,1807.0260576308601,56256.10671427335,1188.3031439991362,53260.77751264336,54449.0806566425,1807.0260576308601,1188.3031439991362,55067.80357027422,56256.10671427336,1.1463335525218887e-21,4.015621504533974e-13,56256.10671427336
0.15000000000000002,1.1102036163575071e-14,4.9252192431920915e-21,203.16819626943106,18946.097614725568,19149.265810995,315.01564345394235,19464.28145444894,856.6961899930739,23039.46186155907,23896.158051552142,520.3786326359367,24416.53668418808,843.5665691308596,22916.846005603813,23760.412574734673,258.2373542885088,24018.64992902318,499.9631897862036,16809.50314790009,17309.46633768629,1389.6595341695497,18699.125871855842,2403.394145179568,81711.90862978854,84115.3027749681,2483.2911645479376,86598.59393951604,2403.3941451795413,81711.90862978763,84115.30277496717,2483.29116454791,2403.3941451795413,84195.19979433554,86598.59393951508,5.80892572085792e-15,1.3094016781817296e-08,86598.59393952817
0.2,7.0526968048804555e-12,7.106012475838097e-17,380.9347901763882,25558.91323785235,25939.848028028737,323.64326168019386,26263.49128970893,1289.1588686150792,30103.52283839596,31392.681707011037,374.9219568877844,31767.603663898823,1266.5553508149578,29799.79519785573,31066.350548670685,324.239362241762,31390.589910912448,805.9927027499327,22423.676918829453,23229.669621579385,4365.333435676954,27595.00305725634,3742.641712356358,107885.9081929335,111628.54990528984,5388.138016486694,117016.68792177654,3742.6417123299616,107885.90819217259,111628.54990450254,5388.138016448693,3742.6417123299616,113274.04620862128,117016.68792095124,8.381007343053744e-11,8.318125518556771e-06,117016.68792926945
0.25,6.239580481172471e-10,5.4567003718133086e-14,548.5538435174145,30332.998623286476,30881.55246680389,304.8475345633907,31186.40000136728,1614.1900592572292,35268.19970075469,36882.389760011916,323.3869048149162,37205.77666482683,1592.1162345853647,35132.203693945354,36724.31992853072,809.695901519598,37534.01583005032,1068.5454686037162,26774.87843418462,27843.423902788334,7260.288328446105,35103.712231234436,4823.405605963725,127508.28045217114,132331.68605813486,8698.218669344009,141029.90472747886,4823.40560295386,127508.28037260436,132331.68597555824,8698.218663916212,4823.40560295386,136206.49903652057,141029.90463947444,6.435767740670188e-08,0.0007359115961090745,141029.90537545038
0.3,1.7337301288969755e-08,7.48198742145787e-12,763.232802455459,35238.89869874523,36002.13150120069,344.0444602776088,36346.1759614783,1811.804158237475,40402.75123396772,42214.55539220519,472.27772317975376,42686.83311538494,1795.6505486425472,40309.27067926136,42104.921227903906,2304.796766900547,44409.71799480445,1336.542957775884,31060.59838058312,32397.141338359004,12032.681418822138,44429.822757181144,5707.230467111365,147011.51899255742,152718.7494596688,15153.800369180048,167872.54982884883,5707.2303681206895,147011.51644267447,152718.7468107952,15153.800106340665,5707.2303681206895,162165.31654901514,167872.54691713583,8.824441365163463e-06,0.020448043105282896,167872.56737400335
0.35000000000000003,2.2759024262383028e-07,3.36330557710319e-10,993.857436611754,39982.12827420763,40975.98571081938,652.0573081394307,41628.043018958815,1800.38156653338,45402.457076041865,47202.83864257525,1094.8161908646225,48297.65483343987,1790.8711753342031,45375.794493167596,47166.665668501795,4921.784183936585,52088.44985243838,1569.1187538974646,35160.85899564597,36729.97774954343,18185.116035105486,54915.09378464892,6154.228932376802,165921.23883906307,172075.46777143987,24853.773718046123,196929.24148948598,6154.227529664491,165921.2010212037,172075.42855086818,24853.76805321065,6154.227529664491,190774.96907441437,196929.19660407887,0.00039667651048165765,0.2684255763885625,196929.46542633176
0.4,1.778886267232386e-06,6.993224818134872e-09,1124.4617921003583,42346.76851007984,43471.2303021802,546.559650095171,44017.78995227537,1940.9531990521536,47939.09676642429,49880.04996547644,1755.651698517661,51635.70166399411,1920.315035803226,48189.70999240543,50110.025028208656,7402.554868492973,57512.57989670163,1739.5085217970322,37558.33008045628,39297.838602253316,23650.23486643147,62948.073468684786,6725.23854875277,176033.90534936584,182759.1438981186,33355.001083537274,216114.14498165593,6725.22653828725,176033.5909740266,182758.81751231384,33354.941515525294,6725.22653828725,209388.53248955187,216113.7590278391,0.008247968110260455,2.0980625799533033,216115.86533838717
0.45,9.546672169036817e-06,8.31415009609456e-08,1309.094457224033,45665.89185941444,46974.986316638475,1375.3905644541042,48350.376881092576,1709.3776255520613,52116.78274250439,53826.16036805645,2891.2746978673786,56717.435065923826,1697.972102508833,52567.222970396186,54265.195072905015,10267.864706016988,64533.059778922005,1873.8746770763187,40804.35189570671,42678.22657278303,28897.578156360298,71575.80472914333,6590.318862361246,191154.24946802174,197744.56833038296,43432.10812469877,241176.67645508173,6590.255398823807,191152.4086883689,197742.66408719265,43431.689881624705,6590.255398823807,234584.0985699936,241174.3539688174,0.09805821200402258,11.259581913631814,241185.711608943
0.5,3.861825201965855e-05,6.493371791622114e-07,1449.0953816046876,49052.55026856584,50501.64565017053,2195.2031857495176,52696.84883592005,1329.987720556256,56365.193323920124,57695.18104447638,3972.984303385893,61668.165347862276,1313.233955799616,57002.36520128254,58315.59915708216,12777.371918629597,71092.97107571176,1882.1840301302934,44202.08942356598,46084.273453696274,32849.92481196545,78934.19826566172,5974.501088090853,206622.1982173345,212596.69930542534,51795.48421973046,264392.1835251558,5974.2664839862755,206614.08466691684,212588.35115090312,51793.4503372326,5974.2664839862755,258407.53500414942,264381.8014881357,0.7658147970949639,45.547324164635384,264428.11462709744
